*BD-122669
*
*  Gregg STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    2.43025E-13
     2951.00    2.49347E-13
     2952.00    2.48301E-13
     2953.00    2.43721E-13
     2954.00    2.37813E-13
     2955.00    2.46889E-13
     2956.00    2.51494E-13
     2957.00    2.53202E-13
     2958.00    2.53013E-13
     2959.00    2.52017E-13
     2960.00    2.51084E-13
     2961.00    2.50829E-13
     2962.00    2.52972E-13
     2963.00    2.51902E-13
     2964.00    2.45747E-13
     2965.00    2.35607E-13
     2966.00    2.40587E-13
     2967.00    2.46024E-13
     2968.00    2.48416E-13
     2969.00    2.44404E-13
     2970.00    2.40735E-13
     2971.00    2.41036E-13
     2972.00    2.43572E-13
     2973.00    2.44282E-13
     2974.00    2.48595E-13
     2975.00    2.51086E-13
     2976.00    2.51176E-13
     2977.00    2.54537E-13
     2978.00    2.53175E-13
     2979.00    2.49577E-13
     2980.00    2.45125E-13
     2981.00    2.43016E-13
     2982.00    2.42569E-13
     2983.00    2.41811E-13
     2984.00    2.36726E-13
     2985.00    2.31628E-13
     2986.00    2.33045E-13
     2987.00    2.40747E-13
     2988.00    2.45261E-13
     2989.00    2.51146E-13
     2990.00    2.55794E-13
     2991.00    2.57600E-13
     2992.00    2.57871E-13
     2993.00    2.57678E-13
     2994.00    2.56469E-13
     2995.00    2.53111E-13
     2996.00    2.55193E-13
     2997.00    2.56332E-13
     2998.00    2.55462E-13
     2999.00    2.51920E-13
     3000.00    2.47242E-13
     3001.00    2.43157E-13
     3002.00    2.40508E-13
     3003.00    2.37500E-13
     3004.00    2.41936E-13
     3005.00    2.48659E-13
     3006.00    2.50843E-13
     3007.00    2.50617E-13
     3008.00    2.50395E-13
     3009.00    2.50809E-13
     3010.00    2.53373E-13
     3011.00    2.53317E-13
     3012.00    2.53497E-13
     3013.00    2.55039E-13
     3014.00    2.57048E-13
     3015.00    2.55751E-13
     3016.00    2.52579E-13
     3017.00    2.48845E-13
     3018.00    2.48045E-13
     3019.00    2.47122E-13
     3020.00    2.45008E-13
     3021.00    2.38783E-13
     3022.00    2.41209E-13
     3023.00    2.46115E-13
     3024.00    2.51262E-13
     3025.00    2.52115E-13
     3026.00    2.53624E-13
     3027.00    2.56663E-13
     3028.00    2.62374E-13
     3029.00    2.64418E-13
     3030.00    2.62699E-13
     3031.00    2.59000E-13
     3032.00    2.58079E-13
     3033.00    2.57995E-13
     3034.00    2.59490E-13
     3035.00    2.62593E-13
     3036.00    2.64668E-13
     3037.00    2.64007E-13
     3038.00    2.62389E-13
     3039.00    2.61116E-13
     3040.00    2.59186E-13
     3041.00    2.55674E-13
     3042.00    2.52779E-13
     3043.00    2.55994E-13
     3044.00    2.60322E-13
     3045.00    2.62046E-13
     3046.00    2.60330E-13
     3047.00    2.55870E-13
     3048.00    2.54596E-13
     3049.00    2.55785E-13
     3050.00    2.59280E-13
     3051.00    2.58581E-13
     3052.00    2.57844E-13
     3053.00    2.56584E-13
     3054.00    2.53557E-13
     3055.00    2.51460E-13
     3056.00    2.50070E-13
     3057.00    2.49382E-13
     3058.00    2.49586E-13
     3059.00    2.45918E-13
     3060.00    2.45547E-13
     3061.00    2.52884E-13
     3062.00    2.52189E-13
     3063.00    2.49301E-13
     3064.00    2.46526E-13
     3065.00    2.46373E-13
     3066.00    2.46221E-13
     3067.00    2.46667E-13
     3068.00    2.48528E-13
     3069.00    2.50389E-13
     3070.00    2.52187E-13
     3071.00    2.53934E-13
     3072.00    2.55680E-13
     3073.00    2.53758E-13
     3074.00    2.50970E-13
     3075.00    2.48394E-13
     3076.00    2.48837E-13
     3077.00    2.49280E-13
     3078.00    2.51197E-13
     3079.00    2.56231E-13
     3080.00    2.61264E-13
     3081.00    2.62443E-13
     3082.00    2.60795E-13
     3083.00    2.59148E-13
     3084.00    2.59234E-13
     3085.00    2.59667E-13
     3086.00    2.59786E-13
     3087.00    2.56693E-13
     3088.00    2.53599E-13
     3089.00    2.51600E-13
     3090.00    2.51682E-13
     3091.00    2.51763E-13
     3092.00    2.52872E-13
     3093.00    2.54665E-13
     3094.00    2.56458E-13
     3095.00    2.53498E-13
     3096.00    2.49743E-13
     3097.00    2.46586E-13
     3098.00    2.48145E-13
     3099.00    2.49705E-13
     3100.00    2.50528E-13
     3101.00    2.50088E-13
     3102.00    2.49648E-13
     3103.00    2.50871E-13
     3104.00    2.53094E-13
     3105.00    2.55318E-13
     3106.00    2.58450E-13
     3107.00    2.61706E-13
     3108.00    2.64607E-13
     3109.00    2.65263E-13
     3110.00    2.65918E-13
     3111.00    2.64520E-13
     3112.00    2.59939E-13
     3113.00    2.55357E-13
     3114.00    2.55035E-13
     3115.00    2.57025E-13
     3116.00    2.59016E-13
     3117.00    2.57262E-13
     3118.00    2.55110E-13
     3119.00    2.53873E-13
     3120.00    2.57436E-13
     3121.00    2.60999E-13
     3122.00    2.62392E-13
     3123.00    2.60736E-13
     3124.00    2.59080E-13
     3125.00    2.55902E-13
     3126.00    2.51980E-13
     3127.00    2.48058E-13
     3128.00    2.53260E-13
     3129.00    2.59173E-13
     3130.00    2.63006E-13
     3131.00    2.57594E-13
     3132.00    2.52182E-13
     3133.00    2.50607E-13
     3134.00    2.53921E-13
     3135.00    2.57237E-13
     3136.00    2.62266E-13
     3137.00    2.68046E-13
     3138.00    2.73827E-13
     3139.00    2.68625E-13
     3140.00    2.62862E-13
     3141.00    2.57004E-13
     3142.00    2.50785E-13
     3143.00    2.44565E-13
     3144.00    2.42042E-13
     3145.00    2.43801E-13
     3146.00    2.45560E-13
     3147.00    2.47501E-13
     3148.00    2.49512E-13
     3149.00    2.51523E-13
     3150.00    2.58070E-13
     3151.00    2.64733E-13
     3152.00    2.68777E-13
     3153.00    2.64102E-13
     3154.00    2.59428E-13
     3155.00    2.56398E-13
     3156.00    2.55101E-13
     3157.00    2.53804E-13
     3158.00    2.55292E-13
