*g114-26_v2sn.txt  
*
*  Heap-Lindler STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00   0.563457
     2952.74   0.574334
     2955.48   0.582226
     2958.22   0.596540
     2960.96   0.600779
     2963.70   0.584757
     2966.44   0.531821
     2969.18   0.543518
     2971.92   0.547058
     2974.66   0.596276
     2977.40   0.618443
     2980.14   0.583139
     2982.88   0.543162
     2985.62   0.526347
     2988.36   0.576546
     2991.10   0.615338
     2993.84   0.601597
     2996.58   0.610995
     2999.32   0.575552
     3002.06   0.544501
     3004.80   0.580830
     3007.54   0.580605
     3010.28   0.601957
     3013.02   0.608568
     3015.76   0.591811
     3018.50   0.556845
     3021.24   0.534549
     3023.98   0.602151
     3026.72   0.617515
     3029.46   0.629672
     3032.20   0.625878
     3034.94   0.640698
     3037.68   0.630709
     3040.42   0.618616
     3043.16   0.609862
     3045.90   0.619961
     3048.64   0.615729
     3051.38   0.627391
     3054.12   0.620980
     3056.86   0.594108
     3059.60   0.578990
     3062.34   0.592650
     3065.08   0.562223
     3067.82   0.552237
     3070.56   0.576674
     3073.30   0.604504
     3076.04   0.615188
     3078.78   0.617098
     3081.52   0.621201
     3084.26   0.616409
     3087.00   0.595760
     3089.74   0.569916
     3092.48   0.548980
     3095.22   0.550852
     3097.96   0.555566
     3100.70   0.559250
     3103.44   0.585363
     3106.18   0.614435
     3108.92   0.633110
     3111.66   0.640557
     3114.40   0.638859
     3117.14   0.620739
     3119.88   0.598996
     3122.62   0.597333
     3125.36   0.600341
     3128.10   0.608295
     3130.84   0.612640
     3133.58   0.621897
     3136.32   0.640764
     3139.06   0.639872
     3141.80   0.609329
     3144.54   0.596483
     3147.28   0.604772
     3150.02   0.611214
     3152.76   0.623171
     3155.50   0.612139
     3158.24   0.588109
     3160.98   0.583864
     3163.72   0.607739
     3166.46   0.632343
     3169.20   0.646479
     3171.94   0.661629
     3174.68   0.662558
     3177.42   0.643884
     3180.16   0.608743
     3182.90   0.595994
     3185.64   0.603180
     3188.38   0.611297
     3191.12   0.612133
     3193.86   0.615458
     3196.60   0.637134
     3199.34   0.655109
     3202.08   0.669866
     3204.82   0.678678
     3207.56   0.670249
     3210.30   0.632711
     3213.04   0.609395
     3215.78   0.625001
     3218.52   0.644095
     3221.26   0.646382
     3224.00   0.644174
     3226.74   0.631299
     3229.48   0.620620
     3232.22   0.616802
     3234.96   0.618678
     3237.70   0.625852
     3240.44   0.647687
     3243.18   0.666344
     3245.92   0.666764
     3248.66   0.657224
     3251.40   0.654484
     3254.14   0.671317
     3256.88   0.692312
     3259.62   0.705622
     3262.36   0.708933
     3265.10   0.701439
     3267.84   0.699905
     3270.58   0.694357
     3273.32   0.686584
     3276.06   0.682596
     3278.80   0.683414
     3281.54   0.705100
     3284.28   0.715060
     3287.02   0.702786
     3289.76   0.694663
     3292.50   0.722867
     3295.24   0.740508
     3297.98   0.735672
     3300.72   0.729670
     3303.46   0.720108
     3306.20   0.715238
     3308.94   0.723546
     3311.68   0.724061
     3314.42   0.716443
     3317.16   0.720846
     3319.90   0.708197
     3322.64   0.699952
     3325.38   0.707341
     3328.12   0.704982
     3330.86   0.697976
     3333.60   0.695422
     3336.34   0.694955
     3339.08   0.696993
     3341.82   0.691864
     3344.56   0.698839
     3347.30   0.691554
     3350.04   0.687866
     3352.78   0.712264
     3355.52   0.731612
     3358.26   0.710378
     3361.00   0.693258
     3363.74   0.704888
     3366.48   0.707857
     3369.22   0.698651
     3371.96   0.683279
     3374.70   0.696253
     3377.44   0.711166
     3380.18   0.691261
     3382.92   0.676601
     3385.66   0.706532
     3388.40   0.715927
     3391.14   0.700467
     3393.88   0.696163
     3396.62   0.721681
     3399.36   0.741562
     3402.10   0.733120
     3404.84   0.716985
     3407.58   0.711215
     3410.32   0.705120
     3413.06   0.701304
     3415.80   0.700991
     3418.54   0.727543
     3421.28   0.727100
     3424.02   0.710180
     3426.76   0.720397
     3429.50   0.727305
     3432.24   0.733006
     3434.98   0.733928
     3437.72   0.723025
     3440.46   0.688433
     3443.20   0.662444
     3445.94   0.691546
     3448.68   0.718102
     3451.42   0.720607
     3454.16   0.723602
     3456.90   0.732283
     3459.64   0.713997
     3462.38   0.710428
     3465.12   0.724796
     3467.86   0.722237
     3470.60   0.725585
     3473.34   0.710466
     3476.08   0.698267
     3478.82   0.720201
     3481.56   0.736957
     3484.30   0.743286
     3487.04   0.741116
     3489.78   0.724636
     3492.52   0.712871
     3495.26   0.704983
     3498.00   0.717333
     3500.74   0.731348
     3503.48   0.748467
     3506.22   0.755274
     3508.96   0.721703
     3511.70   0.707280
     3514.44   0.716275
     3517.18   0.734028
     3519.92   0.721213
     3522.66   0.692567
     3525.40   0.681375
     3528.14   0.690487
     3530.88   0.736750
     3533.62   0.744562
     3536.36   0.743842
     3539.10   0.752881
     3541.84   0.758379
     3544.58   0.761354
     3547.32   0.763341
     3550.06   0.767203
     3552.80   0.757556
     3555.54   0.753102
     3558.28   0.757127
     3561.02   0.766981
     3563.76   0.744176
     3566.50   0.704954
     3569.24   0.691343
     3571.98   0.685663
     3574.72   0.694314
     3577.46   0.710074
     3580.20   0.705778
     3582.94   0.676426
     3585.68   0.671763
     3588.42   0.686197
     3591.16   0.712343
     3593.90   0.738219
     3596.64   0.758698
     3599.38   0.767959
     3602.12   0.746882
     3604.86   0.725875
     3607.60   0.720875
     3610.34   0.717963
     3613.08   0.727969
     3615.82   0.726401
     3618.56   0.719798
     3621.30   0.717029
     3624.04   0.739699
     3626.78   0.753313
     3629.52   0.744076
     3632.26   0.725979
     3635.00   0.732973
     3637.74   0.752546
     3640.48   0.757746
     3643.22   0.738742
     3645.96   0.724853
     3648.70   0.733550
     3651.44   0.752524
     3654.18   0.772762
     3656.92   0.785117
     3659.66   0.784661
     3662.40   0.778648
     3665.14   0.777770
     3667.88   0.794295
     3670.62   0.780985
     3673.36   0.786652
     3676.10   0.779562
