*G20-15
*
*  Heap-Lindler STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    9.90832E-14
     2951.00    1.03103E-13
     2952.00    1.05118E-13
     2953.00    1.03910E-13
     2954.00    1.01369E-13
     2955.00    1.02921E-13
     2956.00    1.05290E-13
     2957.00    1.06058E-13
     2958.00    1.04985E-13
     2959.00    1.07541E-13
     2960.00    1.07584E-13
     2961.00    1.07407E-13
     2962.00    1.08872E-13
     2963.00    1.10004E-13
     2964.00    1.06264E-13
     2965.00    9.98867E-14
     2966.00    9.62640E-14
     2967.00    9.58920E-14
     2968.00    9.62942E-14
     2969.00    9.66865E-14
     2970.00    9.52248E-14
     2971.00    9.72105E-14
     2972.00    1.00150E-13
     2973.00    1.02441E-13
     2974.00    1.04215E-13
     2975.00    1.06634E-13
     2976.00    1.09143E-13
     2977.00    1.10567E-13
     2978.00    1.11308E-13
     2979.00    1.09732E-13
     2980.00    1.06004E-13
     2981.00    1.03435E-13
     2982.00    1.00323E-13
     2983.00    9.71201E-14
     2984.00    9.40811E-14
     2985.00    9.17393E-14
     2986.00    9.29930E-14
     2987.00    9.65653E-14
     2988.00    1.00639E-13
     2989.00    1.05183E-13
     2990.00    1.10300E-13
     2991.00    1.14665E-13
     2992.00    1.11065E-13
     2993.00    1.09146E-13
     2994.00    1.07898E-13
     2995.00    1.06903E-13
     2996.00    1.07218E-13
     2997.00    1.07194E-13
     2998.00    1.06334E-13
     2999.00    1.03737E-13
     3000.00    9.94043E-14
     3001.00    9.68661E-14
     3002.00    9.61942E-14
     3003.00    9.59497E-14
     3004.00    9.90795E-14
     3005.00    1.02567E-13
     3006.00    1.05134E-13
     3007.00    1.05778E-13
     3008.00    1.06426E-13
     3009.00    1.06931E-13
     3010.00    1.07082E-13
     3011.00    1.07588E-13
     3012.00    1.07672E-13
     3013.00    1.07332E-13
     3014.00    1.06774E-13
     3015.00    1.05433E-13
     3016.00    1.03592E-13
     3017.00    1.01261E-13
     3018.00    9.75103E-14
     3019.00    9.38473E-14
     3020.00    9.14077E-14
     3021.00    9.16101E-14
     3022.00    9.76049E-14
     3023.00    1.03681E-13
     3024.00    1.08578E-13
     3025.00    1.09507E-13
     3026.00    1.09137E-13
     3027.00    1.09160E-13
     3028.00    1.10176E-13
     3029.00    1.13053E-13
     3030.00    1.13063E-13
     3031.00    1.12178E-13
     3032.00    1.11965E-13
     3033.00    1.14418E-13
     3034.00    1.15210E-13
     3035.00    1.14466E-13
     3036.00    1.12763E-13
     3037.00    1.11785E-13
     3038.00    1.11539E-13
     3039.00    1.12064E-13
     3040.00    1.13444E-13
     3041.00    1.12850E-13
     3042.00    1.11539E-13
     3043.00    1.10329E-13
     3044.00    1.11348E-13
     3045.00    1.12337E-13
     3046.00    1.13128E-13
     3047.00    1.13457E-13
     3048.00    1.11721E-13
     3049.00    1.11322E-13
     3050.00    1.12656E-13
     3051.00    1.13447E-13
     3052.00    1.13742E-13
     3053.00    1.12976E-13
     3054.00    1.10669E-13
     3055.00    1.08362E-13
     3056.00    1.07431E-13
     3057.00    1.06323E-13
     3058.00    1.02107E-13
     3059.00    1.02673E-13
     3060.00    1.02069E-13
     3061.00    1.01032E-13
     3062.00    1.02473E-13
     3063.00    1.03914E-13
     3064.00    1.03518E-13
     3065.00    1.01991E-13
     3066.00    1.00463E-13
     3067.00    9.89770E-14
     3068.00    9.74971E-14
     3069.00    9.68107E-14
     3070.00    1.01435E-13
     3071.00    1.06059E-13
     3072.00    1.09037E-13
     3073.00    1.09393E-13
     3074.00    1.09750E-13
     3075.00    1.09572E-13
     3076.00    1.09096E-13
     3077.00    1.08620E-13
     3078.00    1.08899E-13
     3079.00    1.09265E-13
     3080.00    1.09842E-13
     3081.00    1.11587E-13
     3082.00    1.13333E-13
     3083.00    1.14105E-13
     3084.00    1.13467E-13
     3085.00    1.12830E-13
     3086.00    1.10932E-13
     3087.00    1.08396E-13
     3088.00    1.05861E-13
     3089.00    1.07510E-13
     3090.00    1.09524E-13
     3091.00    1.10354E-13
     3092.00    1.05623E-13
     3093.00    1.00892E-13
     3094.00    9.83291E-14
     3095.00    9.86241E-14
     3096.00    9.89191E-14
     3097.00    9.80088E-14
     3098.00    9.65493E-14
     3099.00    9.50898E-14
     3100.00    9.74697E-14
     3101.00    1.00083E-13
     3102.00    1.02972E-13
     3103.00    1.06979E-13
     3104.00    1.10985E-13
     3105.00    1.13283E-13
     3106.00    1.13527E-13
     3107.00    1.13771E-13
     3108.00    1.13845E-13
     3109.00    1.13851E-13
     3110.00    1.13857E-13
     3111.00    1.13221E-13
     3112.00    1.12562E-13
     3113.00    1.12208E-13
     3114.00    1.12929E-13
     3115.00    1.13651E-13
     3116.00    1.11738E-13
     3117.00    1.06937E-13
     3118.00    1.02135E-13
     3119.00    1.02464E-13
     3120.00    1.04664E-13
     3121.00    1.06864E-13
     3122.00    1.06216E-13
     3123.00    1.05535E-13
     3124.00    1.05242E-13
     3125.00    1.06149E-13
     3126.00    1.07055E-13
     3127.00    1.06052E-13
     3128.00    1.03137E-13
     3129.00    1.00222E-13
     3130.00    1.02925E-13
     3131.00    1.07446E-13
     3132.00    1.11927E-13
     3133.00    1.12831E-13
     3134.00    1.13735E-13
     3135.00    1.14678E-13
     3136.00    1.15726E-13
     3137.00    1.16773E-13
     3138.00    1.15601E-13
     3139.00    1.12400E-13
     3140.00    1.09199E-13
     3141.00    1.07997E-13
     3142.00    1.07364E-13
     3143.00    1.06711E-13
     3144.00    1.05495E-13
     3145.00    1.04279E-13
     3146.00    1.04456E-13
     3147.00    1.08047E-13
     3148.00    1.11637E-13
     3149.00    1.13144E-13
     3150.00    1.12913E-13
     3151.00    1.12682E-13
     3152.00    1.11921E-13
     3153.00    1.11029E-13
     3154.00    1.10183E-13
     3155.00    1.10096E-13
     3156.00    1.10008E-13
     3157.00    1.08913E-13
     3158.00    1.05600E-13
