*HD184266
*
*  Heap-LindlerSTIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    9.96038E-13
     2951.00    1.07258E-12
     2952.00    1.08483E-12
     2953.00    1.06290E-12
     2954.00    1.02185E-12
     2955.00    1.12151E-12
     2956.00    1.15752E-12
     2957.00    1.15905E-12
     2958.00    1.15916E-12
     2959.00    1.15080E-12
     2960.00    1.13670E-12
     2961.00    1.12774E-12
     2962.00    1.16742E-12
     2963.00    1.15010E-12
     2964.00    1.08102E-12
     2965.00    9.67144E-13
     2966.00    9.93470E-13
     2967.00    1.02771E-12
     2968.00    1.04140E-12
     2969.00    9.97538E-13
     2970.00    9.45811E-13
     2971.00    9.72748E-13
     2972.00    1.05804E-12
     2973.00    1.11690E-12
     2974.00    1.17704E-12
     2975.00    1.18456E-12
     2976.00    1.12912E-12
     2977.00    1.16261E-12
     2978.00    1.17181E-12
     2979.00    1.14991E-12
     2980.00    1.08450E-12
     2981.00    1.03122E-12
     2982.00    1.02221E-12
     2983.00    1.03002E-12
     2984.00    9.73783E-13
     2985.00    9.13541E-13
     2986.00    9.18110E-13
     2987.00    1.00087E-12
     2988.00    1.07172E-12
     2989.00    1.14219E-12
     2990.00    1.18414E-12
     2991.00    1.16979E-12
     2992.00    1.18710E-12
     2993.00    1.19460E-12
     2994.00    1.19163E-12
     2995.00    1.17854E-12
     2996.00    1.20073E-12
     2997.00    1.21918E-12
     2998.00    1.22036E-12
     2999.00    1.16888E-12
     3000.00    1.12257E-12
     3001.00    1.08513E-12
     3002.00    1.06038E-12
     3003.00    1.03547E-12
     3004.00    1.06135E-12
     3005.00    1.11485E-12
     3006.00    1.15177E-12
     3007.00    1.13910E-12
     3008.00    1.13269E-12
     3009.00    1.14535E-12
     3010.00    1.19073E-12
     3011.00    1.21050E-12
     3012.00    1.21505E-12
     3013.00    1.20871E-12
     3014.00    1.19376E-12
     3015.00    1.17062E-12
     3016.00    1.14352E-12
     3017.00    1.11913E-12
     3018.00    1.10626E-12
     3019.00    1.09166E-12
     3020.00    1.07501E-12
     3021.00    1.06551E-12
     3022.00    1.11748E-12
     3023.00    1.16507E-12
     3024.00    1.17572E-12
     3025.00    1.16947E-12
     3026.00    1.17252E-12
     3027.00    1.18810E-12
     3028.00    1.22342E-12
     3029.00    1.21306E-12
     3030.00    1.19391E-12
     3031.00    1.17536E-12
     3032.00    1.17827E-12
     3033.00    1.19651E-12
     3034.00    1.21626E-12
     3035.00    1.23167E-12
     3036.00    1.23758E-12
     3037.00    1.21504E-12
     3038.00    1.19436E-12
     3039.00    1.21338E-12
     3040.00    1.21347E-12
     3041.00    1.19515E-12
     3042.00    1.17089E-12
     3043.00    1.18498E-12
     3044.00    1.20236E-12
     3045.00    1.21766E-12
     3046.00    1.22727E-12
     3047.00    1.20571E-12
     3048.00    1.20063E-12
     3049.00    1.21239E-12
     3050.00    1.24463E-12
     3051.00    1.26457E-12
     3052.00    1.27626E-12
     3053.00    1.27486E-12
     3054.00    1.24235E-12
     3055.00    1.22675E-12
     3056.00    1.20204E-12
     3057.00    1.16080E-12
     3058.00    1.11290E-12
     3059.00    1.10351E-12
     3060.00    1.10831E-12
     3061.00    1.10841E-12
     3062.00    1.11226E-12
     3063.00    1.12392E-12
     3064.00    1.13558E-12
     3065.00    1.13608E-12
     3066.00    1.12853E-12
     3067.00    1.12098E-12
     3068.00    1.12029E-12
     3069.00    1.12094E-12
     3070.00    1.12253E-12
     3071.00    1.13345E-12
     3072.00    1.14438E-12
     3073.00    1.15216E-12
     3074.00    1.15406E-12
     3075.00    1.15595E-12
     3076.00    1.15844E-12
     3077.00    1.16134E-12
     3078.00    1.16424E-12
     3079.00    1.17408E-12
     3080.00    1.18506E-12
     3081.00    1.19645E-12
     3082.00    1.21095E-12
     3083.00    1.22546E-12
     3084.00    1.23863E-12
     3085.00    1.24951E-12
     3086.00    1.26040E-12
     3087.00    1.26374E-12
     3088.00    1.26258E-12
     3089.00    1.26143E-12
     3090.00    1.23226E-12
     3091.00    1.19934E-12
     3092.00    1.16897E-12
     3093.00    1.15464E-12
     3094.00    1.14031E-12
     3095.00    1.13657E-12
     3096.00    1.14918E-12
     3097.00    1.16179E-12
     3098.00    1.15819E-12
     3099.00    1.14580E-12
     3100.00    1.13341E-12
     3101.00    1.12029E-12
     3102.00    1.10709E-12
     3103.00    1.09907E-12
     3104.00    1.11831E-12
     3105.00    1.13755E-12
     3106.00    1.16297E-12
     3107.00    1.19708E-12
     3108.00    1.23118E-12
     3109.00    1.26258E-12
     3110.00    1.29265E-12
     3111.00    1.32272E-12
     3112.00    1.31554E-12
     3113.00    1.30542E-12
     3114.00    1.29803E-12
     3115.00    1.30283E-12
     3116.00    1.30763E-12
     3117.00    1.29869E-12
     3118.00    1.27211E-12
     3119.00    1.24552E-12
     3120.00    1.24391E-12
     3121.00    1.25333E-12
     3122.00    1.26274E-12
     3123.00    1.23581E-12
     3124.00    1.20694E-12
     3125.00    1.18586E-12
     3126.00    1.19492E-12
     3127.00    1.20397E-12
     3128.00    1.21250E-12
     3129.00    1.22040E-12
     3130.00    1.22829E-12
     3131.00    1.22556E-12
     3132.00    1.21862E-12
     3133.00    1.21168E-12
     3134.00    1.22176E-12
     3135.00    1.23232E-12
     3136.00    1.24444E-12
     3137.00    1.26183E-12
     3138.00    1.27922E-12
     3139.00    1.29877E-12
     3140.00    1.32063E-12
     3141.00    1.34248E-12
     3142.00    1.34079E-12
     3143.00    1.33079E-12
     3144.00    1.32079E-12
     3145.00    1.28398E-12
     3146.00    1.24704E-12
     3147.00    1.22286E-12
     3148.00    1.23692E-12
     3149.00    1.25099E-12
     3150.00    1.26922E-12
     3151.00    1.29152E-12
     3152.00    1.31382E-12
     3153.00    1.31972E-12
     3154.00    1.32049E-12
     3155.00    1.32091E-12
     3156.00    1.30110E-12
     3157.00    1.28130E-12
     3158.00    1.25919E-12
