*HD019445
*
*  HEAP-Lindler STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    1.59850E-12
     2951.00    1.66190E-12
     2952.00    1.66864E-12
     2953.00    1.61080E-12
     2954.00    1.58080E-12
     2955.00    1.65240E-12
     2956.00    1.66939E-12
     2957.00    1.67199E-12
     2958.00    1.67268E-12
     2959.00    1.69599E-12
     2960.00    1.69349E-12
     2961.00    1.70421E-12
     2962.00    1.72957E-12
     2963.00    1.72018E-12
     2964.00    1.65184E-12
     2965.00    1.58039E-12
     2966.00    1.54007E-12
     2967.00    1.55368E-12
     2968.00    1.58018E-12
     2969.00    1.58219E-12
     2970.00    1.48662E-12
     2971.00    1.53002E-12
     2972.00    1.57559E-12
     2973.00    1.60701E-12
     2974.00    1.66020E-12
     2975.00    1.69186E-12
     2976.00    1.71526E-12
     2977.00    1.73633E-12
     2978.00    1.75060E-12
     2979.00    1.71953E-12
     2980.00    1.66502E-12
     2981.00    1.61590E-12
     2982.00    1.60094E-12
     2983.00    1.57063E-12
     2984.00    1.52506E-12
     2985.00    1.49267E-12
     2986.00    1.52756E-12
     2987.00    1.57223E-12
     2988.00    1.60495E-12
     2989.00    1.68612E-12
     2990.00    1.72830E-12
     2991.00    1.73460E-12
     2992.00    1.70176E-12
     2993.00    1.68846E-12
     2994.00    1.67682E-12
     2995.00    1.67173E-12
     2996.00    1.69871E-12
     2997.00    1.71163E-12
     2998.00    1.70253E-12
     2999.00    1.66796E-12
     3000.00    1.62262E-12
     3001.00    1.59322E-12
     3002.00    1.57707E-12
     3003.00    1.57392E-12
     3004.00    1.62130E-12
     3005.00    1.65792E-12
     3006.00    1.67322E-12
     3007.00    1.64472E-12
     3008.00    1.63430E-12
     3009.00    1.64449E-12
     3010.00    1.67503E-12
     3011.00    1.70302E-12
     3012.00    1.71023E-12
     3013.00    1.70978E-12
     3014.00    1.71168E-12
     3015.00    1.69546E-12
     3016.00    1.67582E-12
     3017.00    1.65026E-12
     3018.00    1.60972E-12
     3019.00    1.56601E-12
     3020.00    1.51166E-12
     3021.00    1.46089E-12
     3022.00    1.55174E-12
     3023.00    1.61586E-12
     3024.00    1.65207E-12
     3025.00    1.65552E-12
     3026.00    1.66251E-12
     3027.00    1.70441E-12
     3028.00    1.75337E-12
     3029.00    1.75122E-12
     3030.00    1.73140E-12
     3031.00    1.71656E-12
     3032.00    1.71431E-12
     3033.00    1.74533E-12
     3034.00    1.76285E-12
     3035.00    1.77034E-12
     3036.00    1.76872E-12
     3037.00    1.72109E-12
     3038.00    1.71273E-12
     3039.00    1.72828E-12
     3040.00    1.74526E-12
     3041.00    1.72913E-12
     3042.00    1.71824E-12
     3043.00    1.71841E-12
     3044.00    1.72961E-12
     3045.00    1.73890E-12
     3046.00    1.73926E-12
     3047.00    1.72666E-12
     3048.00    1.71283E-12
     3049.00    1.72071E-12
     3050.00    1.73913E-12
     3051.00    1.75411E-12
     3052.00    1.76663E-12
     3053.00    1.76166E-12
     3054.00    1.74274E-12
     3055.00    1.73092E-12
     3056.00    1.71042E-12
     3057.00    1.66723E-12
     3058.00    1.59888E-12
     3059.00    1.61937E-12
     3060.00    1.62577E-12
     3061.00    1.63168E-12
     3062.00    1.64130E-12
     3063.00    1.65092E-12
     3064.00    1.62131E-12
     3065.00    1.58697E-12
     3066.00    1.55378E-12
     3067.00    1.52713E-12
     3068.00    1.50048E-12
     3069.00    1.49971E-12
     3070.00    1.53697E-12
     3071.00    1.57423E-12
     3072.00    1.59372E-12
     3073.00    1.60410E-12
     3074.00    1.61449E-12
     3075.00    1.63739E-12
     3076.00    1.66142E-12
     3077.00    1.67970E-12
     3078.00    1.67052E-12
     3079.00    1.66134E-12
     3080.00    1.65729E-12
     3081.00    1.66005E-12
     3082.00    1.66280E-12
     3083.00    1.67329E-12
     3084.00    1.68731E-12
     3085.00    1.70133E-12
     3086.00    1.68214E-12
     3087.00    1.66091E-12
     3088.00    1.64045E-12
     3089.00    1.62312E-12
     3090.00    1.60578E-12
     3091.00    1.58429E-12
     3092.00    1.55782E-12
     3093.00    1.53134E-12
     3094.00    1.53078E-12
     3095.00    1.54078E-12
     3096.00    1.55078E-12
     3097.00    1.55061E-12
     3098.00    1.55010E-12
     3099.00    1.54879E-12
     3100.00    1.54470E-12
     3101.00    1.54060E-12
     3102.00    1.54982E-12
     3103.00    1.57348E-12
     3104.00    1.59715E-12
     3105.00    1.62558E-12
     3106.00    1.65573E-12
     3107.00    1.68587E-12
     3108.00    1.70845E-12
     3109.00    1.73097E-12
     3110.00    1.74845E-12
     3111.00    1.75065E-12
     3112.00    1.75285E-12
     3113.00    1.75278E-12
     3114.00    1.75048E-12
     3115.00    1.74817E-12
     3116.00    1.74044E-12
     3117.00    1.73099E-12
     3118.00    1.72138E-12
     3119.00    1.70200E-12
     3120.00    1.68262E-12
     3121.00    1.66840E-12
     3122.00    1.66796E-12
     3123.00    1.66752E-12
     3124.00    1.66393E-12
     3125.00    1.65754E-12
     3126.00    1.65116E-12
     3127.00    1.65193E-12
     3128.00    1.65467E-12
     3129.00    1.65754E-12
     3130.00    1.66371E-12
     3131.00    1.66987E-12
     3132.00    1.67731E-12
     3133.00    1.68778E-12
     3134.00    1.69825E-12
     3135.00    1.70820E-12
     3136.00    1.71773E-12
     3137.00    1.72727E-12
     3138.00    1.73751E-12
     3139.00    1.74793E-12
     3140.00    1.75624E-12
     3141.00    1.73475E-12
     3142.00    1.71325E-12
     3143.00    1.68433E-12
     3144.00    1.63979E-12
     3145.00    1.59525E-12
     3146.00    1.59892E-12
     3147.00    1.63773E-12
     3148.00    1.67654E-12
     3149.00    1.69528E-12
     3150.00    1.71004E-12
     3151.00    1.72345E-12
     3152.00    1.72333E-12
     3153.00    1.72322E-12
     3154.00    1.71877E-12
     3155.00    1.70617E-12
     3156.00    1.69357E-12
     3157.00    1.67308E-12
     3158.00    1.64738E-12
