*HD009051
*
*  Heap-Lindler STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*                                                                              
     2950.00    1.41970E-13
     2951.00    1.55755E-13
     2952.00    1.58126E-13
     2953.00    1.53883E-13
     2954.00    1.50034E-13
     2955.00    1.60339E-13
     2956.00    1.66237E-13
     2957.00    1.67433E-13
     2958.00    1.66012E-13
     2959.00    1.75258E-13
     2960.00    1.71233E-13
     2961.00    1.67188E-13
     2962.00    1.70381E-13
     2963.00    1.71861E-13
     2964.00    1.60016E-13
     2965.00    1.41342E-13
     2966.00    1.25228E-13
     2967.00    1.23656E-13
     2968.00    1.29493E-13
     2969.00    1.38542E-13
     2970.00    1.35448E-13
     2971.00    1.42609E-13
     2972.00    1.49774E-13
     2973.00    1.52629E-13
     2974.00    1.66748E-13
     2975.00    1.74694E-13
     2976.00    1.81084E-13
     2977.00    1.91877E-13
     2978.00    1.89191E-13
     2979.00    1.78017E-13
     2980.00    1.61307E-13
     2981.00    1.47854E-13
     2982.00    1.44630E-13
     2983.00    1.38432E-13
     2984.00    1.24977E-13
     2985.00    1.24475E-13
     2986.00    1.34351E-13
     2987.00    1.47237E-13
     2988.00    1.55450E-13
     2989.00    1.72864E-13
     2990.00    1.85976E-13
     2991.00    1.93307E-13
     2992.00    1.92698E-13
     2993.00    1.87692E-13
     2994.00    1.78618E-13
     2995.00    1.67384E-13
     2996.00    1.80430E-13
     2997.00    1.88127E-13
     2998.00    1.86859E-13
     2999.00    1.71659E-13
     3000.00    1.56212E-13
     3001.00    1.48239E-13
     3002.00    1.46338E-13
     3003.00    1.46702E-13
     3004.00    1.61011E-13
     3005.00    1.73319E-13
     3006.00    1.78982E-13
     3007.00    1.74347E-13
     3008.00    1.71202E-13
     3009.00    1.74350E-13
     3010.00    1.88451E-13
     3011.00    1.99822E-13
     3012.00    1.98097E-13
     3013.00    1.88751E-13
     3014.00    1.83368E-13
     3015.00    1.82710E-13
     3016.00    1.80842E-13
     3017.00    1.75854E-13
     3018.00    1.63196E-13
     3019.00    1.51987E-13
     3020.00    1.39817E-13
     3021.00    1.25043E-13
     3022.00    1.43366E-13
     3023.00    1.64756E-13
     3024.00    1.82528E-13
     3025.00    1.83961E-13
     3026.00    1.84818E-13
     3027.00    1.92828E-13
     3028.00    2.05408E-13
     3029.00    1.99923E-13
     3030.00    1.94829E-13
     3031.00    1.92341E-13
     3032.00    1.93937E-13
     3033.00    2.03727E-13
     3034.00    2.09910E-13
     3035.00    2.14362E-13
     3036.00    2.19683E-13
     3037.00    2.12980E-13
     3038.00    2.06797E-13
     3039.00    2.03270E-13
     3040.00    2.04675E-13
     3041.00    1.94966E-13
     3042.00    1.88700E-13
     3043.00    1.92352E-13
     3044.00    1.98898E-13
     3045.00    2.04565E-13
     3046.00    2.07189E-13
     3047.00    2.03359E-13
     3048.00    1.96994E-13
     3049.00    2.00331E-13
     3050.00    2.10731E-13
     3051.00    2.14465E-13
     3052.00    2.19663E-13
     3053.00    2.16404E-13
     3054.00    2.01613E-13
     3055.00    1.95189E-13
     3056.00    1.90510E-13
     3057.00    1.79784E-13
     3058.00    1.53538E-13
     3059.00    1.52475E-13
     3060.00    1.66323E-13
     3061.00    1.73995E-13
     3062.00    1.72666E-13
     3063.00    1.71337E-13
     3064.00    1.63364E-13
     3065.00    1.54669E-13
     3066.00    1.47683E-13
     3067.00    1.49791E-13
     3068.00    1.51899E-13
     3069.00    1.55360E-13
     3070.00    1.60734E-13
     3071.00    1.66108E-13
     3072.00    1.71824E-13
     3073.00    1.77707E-13
     3074.00    1.83591E-13
     3075.00    1.86605E-13
     3076.00    1.89392E-13
     3077.00    1.91485E-13
     3078.00    1.90480E-13
     3079.00    1.89475E-13
     3080.00    1.88828E-13
     3081.00    1.88641E-13
     3082.00    1.88453E-13
     3083.00    1.89965E-13
     3084.00    1.92222E-13
     3085.00    1.94478E-13
     3086.00    1.87596E-13
     3087.00    1.80245E-13
     3088.00    1.73493E-13
     3089.00    1.69023E-13
     3090.00    1.64553E-13
     3091.00    1.58626E-13
     3092.00    1.51014E-13
     3093.00    1.43401E-13
     3094.00    1.48113E-13
     3095.00    1.57624E-13
     3096.00    1.67135E-13
     3097.00    1.63522E-13
     3098.00    1.59586E-13
     3099.00    1.56431E-13
     3100.00    1.55854E-13
     3101.00    1.55278E-13
     3102.00    1.61328E-13
     3103.00    1.74321E-13
     3104.00    1.87315E-13
     3105.00    1.94604E-13
     3106.00    1.99935E-13
     3107.00    2.05266E-13
     3108.00    2.10869E-13
     3109.00    2.16473E-13
     3110.00    2.20122E-13
     3111.00    2.18114E-13
     3112.00    2.16106E-13
     3113.00    2.14912E-13
     3114.00    2.14492E-13
     3115.00    2.14071E-13
     3116.00    2.09073E-13
     3117.00    2.02701E-13
     3118.00    1.96304E-13
     3119.00    1.88975E-13
     3120.00    1.81647E-13
     3121.00    1.75727E-13
     3122.00    1.73406E-13
     3123.00    1.71084E-13
     3124.00    1.71294E-13
     3125.00    1.73683E-13
     3126.00    1.76071E-13
     3127.00    1.77493E-13
     3128.00    1.78663E-13
     3129.00    1.79817E-13
     3130.00    1.80657E-13
     3131.00    1.81498E-13
     3132.00    1.83109E-13
     3133.00    1.86469E-13
     3134.00    1.89828E-13
     3135.00    1.91818E-13
     3136.00    1.92743E-13
     3137.00    1.93667E-13
     3138.00    1.99143E-13
     3139.00    2.05629E-13
     3140.00    2.11083E-13
     3141.00    2.03708E-13
     3142.00    1.96333E-13
     3143.00    1.87318E-13
     3144.00    1.74984E-13
     3145.00    1.62651E-13
     3146.00    1.61408E-13
     3147.00    1.67975E-13
     3148.00    1.74543E-13
     3149.00    1.83154E-13
     3150.00    1.92146E-13
     3151.00    2.00152E-13
     3152.00    1.99191E-13
     3153.00    1.98230E-13
     3154.00    1.95282E-13
     3155.00    1.88726E-13
     3156.00    1.82169E-13
     3157.00    1.73376E-13
     3158.00    1.63161E-13
