fhr9087.dat       HR9087          00 01 49.42    -03 01 39.0     5.12  B7III
fg158_100.dat     G158-100        00 33 54.32    -12 07 57.1    14.89  dG-K
fhr153.dat        HR153           00 36 58.30    +53 53 48.9     3.66  B2IV
fcd_34d241.dat    CD-34d241       00 41 46.82    -33 39 08.2    11.23  F
fbpm16274.dat     BPM16274        00 50 03.18    -52 08 17.4    14.20  DA2
fltt1020.dat      LTT1020         01 54 49.68    -27 28 29.7    11.52  G
fhr718.dat        HR718           02 28 09.54    +08 27 36.2     4.28  B9III
feg21.dat         EG21            03 10 30.98    -68 36 02.2    11.38  DA
fltt1788.dat      LTT1788         03 48 22.17    -39 08 33.6    13.16  F
fgd50.dat         GD50            03 48 50.06    -00 58 30.4    14.06  DA2
fsa95_42.dat      SA95-42         03 53 43.67    -00 04 33.0    15.61  DA
fhz4.dat          HZ4             03 55 21.70    +09 47 18.7    14.52  DA4
flb227.dat        LB227           04 09 28.76    +17 07 54.4    15.34  DA4
fhz2.dat          HZ2             04 12 43.51    +11 51 50.4    13.86  DA3
fhr1544.dat       HR1544          04 50 36.69    +08 54 00.7     4.36  A1V
fgd71.dat         GD71            05 52 27.51    +15 53 16.6    13.03  DA1
fg191b2b.dat      G191-B2B        05 05 30.62    +52 49 54.0    11.78  DA1
fhr1996.dat       HR1996          05 45 59.92    -32 18 23.4     5.17  O9V
fltt2415.dat      LTT2415         05 56 24.30    -27 51 28.8    12.21  unknown
fhilt600.dat      HILT600         06 45 13.33    +02 08 14.1    10.44  B1
fhd49798.dat      HD49798         06 48 04.64    -44 18 59.3     8.30  O6
fhd60753.dat      HD60753         07 33 27.26    -50 35 03.7     6.70  B3IV
fg193_74.dat      G193-74         07 53 27.40    +52 29 35.7    15.70  DA0
fbd75d325.dat     BD+75d325       08 10 49.31    +74 57 57.5     9.54  O5p
fltt3218.dat      LTT3218         08 41 32.37    -32 56 32.9    11.86  DA
fhr3454.dat       HR3454          08 43 13.46    +03 23 55.1     4.30  B3V
fagk81d266.dat    AGK+81d266      09 21 19.06    +81 43 28.6    11.92  sdO
fgd108.dat        GD108           10 00 47.33    -07 33 31.2    13.56  sdB
fltt3864.dat      LTT3864         10 32 13.90    -35 37 42.4    12.17  F
ffeige34.dat      Feige34         10 39 36.71    +43 06 10.1    11.18  DO
fhd93521.dat      HD93521         10 48 23.51    +37 34 12.8     7.04  O9Vp
fhr4468.dat       HR4468          11 36 40.91    -09 48 08.2     4.70  B9.5V
fltt4364.dat      LTT4364         11 45 42.92    -64 50 29.5    11.50  C2
fhr4554.dat       HR4554          11 53 49.83    +53 41 41.1     2.44  A0V
ffeige56.dat      Feige56         12 06 47.3     +11 40 13      11.06  B5p
fhz21.dat         HZ21            12 13 56.42    +32 56 30.8    14.68  DO2
ffeige66.dat      Feige66         12 37 23.55    +25 04 00.3    10.50  sdO
fltt4816.dat      LTT4816         12 38 50.94    -49 47 58.8    13.79  DA
ffeige67.dat      Feige67         12 41 51.83    +17 31 20.5    11.81  sdO
fgd153.dat        GD153           12 57 02.37    +22 01 56.0    13.35  DA1
fg60_54.dat       G60-54          13 00 09.53    +03 28 55.7    15.81  DC
fhr4963.dat       HR4963          13 09 56.96    -05 32 20.5     4.38  A1IV
fhz43.dat         HZ43            13 16 21.99    +29 05 57.0    12.91  DA1
fhz44.dat         HZ44            13 23 35.37    +36 08 00.0    11.66  sdO
fgrw70d5824.dat   GRW+70d5824     13 38 51.77    +70 17 08.5    12.77  DA3
fhr5191.dat       HR5191          13 47 32.44    +49 18 48.0     1.86  B3V
fcd32d9927.dat    CD-32d9927      14 11 46.37    -33 03 14.3    10.42  A0
fhr5501.dat       HR5501          14 45 30.25    +00 43 02.7     5.68  B9.5V
fltt6248.dat      LTT6248         15 39 00.02    -28 35 33.1    11.80  A
fbd33d2642.dat    BD+33d2642      15 51 59.86    +32 56 54.8    10.81  B2IV
feg274.dat        EG274           16 23 33.75    -39 13 47.5    11.03  DA
fg138_31.dat      G138-31         16 27 53.59    +09 12 24.5    16.14  DC
fltt7379.dat      LTT7379         18 36 26.29    -44 18 33.0    10.23  G0
fhr7001.dat       HR7001          18 36 56.33    +38 47 01.1     0.00  A0V
fhr7596.dat       HR7596          19 54 44.80    +00 16 24.6     5.62  A0III
fltt7987.dat      LTT7987         20 10 57.38    -30 13 01.2    12.23  DA
fg24_9.dat        G24-9           20 13 56.05    +06 42 55.2    15.72  DC
fhr7950.dat       HR7950          20 47 40.55    -09 29 44.7     3.78  A1V
flds749b.dat      LDS749B         21 32 15.75    +00 15 13.6    14.67  DB4
fbd28d4211.dat    BD+28d4211      21 51 11.07    +28 51 51.8    10.51  Op
fg93_48.dat       G93-48          21 52 25.33    +02 23 24.3    12.74  DA3
fbd25d4655.dat    BD+25d4655      21 59 42.02    +26 25 58.1     9.76  O
fngc7293.dat      NGC7293         22 29 38.46    -20 50 13.3    13.51  V.Hot
fhr8634.dat       HR8634          22 41 27.64    +10 49 53.2     3.40  B8V
fltt9239.dat      LTT9239         22 52 40.88    -20 35 26.3    12.07  F
fltt9491.dat      LTT9491         23 19 34.98    -17 05 29.8    14.11  DC
ffeige110.dat     Feige110        23 19 58.39    -05 09 55.8    11.82  DOp
fgd248.dat        GD248           23 26 06.69    +16 00 21.4    15.09  DC
