vma2new.tab       VMa2            00 49 10       +05 23 24      12.38  unknown
hd8724_v2.tab     HD8724          01 26 17.6     +17 07 35.1     8.30  unknown
hd9051_v2.tab     HD9051          01 28 46.5     -24 20 25.4     8.93  unknown
hd16031_v2.tab    HD16031         02 34 11.0     -12 23 03.5     9.77  unknown
hd19445_v2.tab    HD19445         03 08 25.6     +26 19 51.4     8.04  unknown
hd26169msb.tab    HD26169         04 00 52.5     -75 36 11.4     8.78  unknown
hd44007_v2.tab    HD44007         06 18 48.5     -14 50 43.4     8.05  unknown
hd45282_v2.tab    HD45282         06 26 40.8     +03 25 29.8     8.00  unknown
hd55496_v2.tab    HD55496         07 12 11.4     -22 59 00.6     8.37  unknown
l745-46a_v2.tab   L745-46a        07 40 21       -17 24 54      13.03  unknown
bd-122669_v2.tab  BD-122669       08 46 39.6     -13 21 25.4    10.24  unknown
g114-26_v2.tab    G114-26         08 59 10.2     -04 01 37.6     9.63  unknown
ltt4364_v2.tab    LTT4364         11 45 48       -64 51 16      11.51  unknown
g13-35_v2.tab     G13-35          12 25 35.0     +01 17 02.3     9.66  unknown
hd111721.tab      HD111721        12 51 25.2     -13 29 28.9     7.97  unknown
hd111786.tab      HD111786        12 51 57.9     -26 44 17.7     6.14  unknown
hd122956_v2.tab   HD122956        14 05 13.0     -14 51 25.5     7.22  unknown
hd128279_v2.tab   HD128279        14 36 48.5     -29 06 46.7     8.02  unknown
hd132475_v2.tab   HD132475        14 59 49.7     -22 00 46.8     8.55  unknown
hd142703.tab      HD142703        15 56 33.4     -14 49 46.2     6.12  unknown
g20-15_v2.tab     G20-15          17 47 28.0     -08 46 47.7    10.60  unknown
hd161770_v2.tab   HD161770        17 47 46.1     -09 36 18.5     9.68  unknown
eg131mod.tab      EG131           19 20 35       -07 40 06      12.28  unknown
hd184266_v2.tab   HD184266        19 34 15.4     -16 19 00.2     7.59  unknown
g24-3_v2.tab      G24-3           20 05 44.3     +04 02 52.8    10.46  unknown
cd-3018140_v2.tab CD-3018140      20 44 06.3     -30 00 07.6     9.94  unknown
hd204543_v2.tab   HD204543        21 29 28.2     -03 30 55.4     8.28  unknown
bd174708_v2.tab   BD174708        22 11 31.4     +18 05 34.2     9.46  unknown
g29-23_v2.tab     G29-23          23 19 40.5     +03 22 16.7    10.21  unknown
ltt9491.tab       LTT9491         23 19 35.0     -17 05 24.0    14.10  unknown
f110.tab          F110            23 19 58       -05 09 54      11.85  unknown
hd26297_v2.tab    HD26297         04 09 03.4     -15 53 27.1     7.46  unknown
hd29574_v2.tab    HD29574         04 38 55.7     -13 20 48.1     8.33  unknown
hd36702_v2.tab    HD36702         05 31 52.2     -38 33 24.0     8.33  unknown
hd83212_v2.tab    HD83212         09 36 20.0     -20 53 14.8     8.33  unknown
hd118055_v2.tab   HD118055        13 34 39.9     -16 19 22.7     8.86  unknown
hd103036_v2.tab   HD103036        11 51 50.1     -05 45 44.2     8.19  unknown
hd165195_v2.tab   HD165195        18 04 40.1     +03 46 44.7     7.31  unknown
hd187111_v2.tab   HD187111        19 48 39.6     -12 07 19.7     7.71  unknown
