*BD174708
*
*  Heap-Lindler STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    3.78998E-13
     2951.00    3.93812E-13
     2952.00    3.97200E-13
     2953.00    3.82885E-13
     2954.00    3.80184E-13
     2955.00    3.88984E-13
     2956.00    4.11086E-13
     2957.00    4.03115E-13
     2958.00    4.02959E-13
     2959.00    4.06610E-13
     2960.00    4.01402E-13
     2961.00    4.04853E-13
     2962.00    4.11575E-13
     2963.00    4.16928E-13
     2964.00    3.93005E-13
     2965.00    3.78418E-13
     2966.00    3.71121E-13
     2967.00    3.70714E-13
     2968.00    3.79241E-13
     2969.00    3.69284E-13
     2970.00    3.55173E-13
     2971.00    3.65984E-13
     2972.00    3.78374E-13
     2973.00    3.89271E-13
     2974.00    3.98689E-13
     2975.00    4.10393E-13
     2976.00    4.10293E-13
     2977.00    4.11877E-13
     2978.00    4.22817E-13
     2979.00    4.08211E-13
     2980.00    3.94062E-13
     2981.00    3.82359E-13
     2982.00    3.76922E-13
     2983.00    3.71563E-13
     2984.00    3.63124E-13
     2985.00    3.53994E-13
     2986.00    3.58565E-13
     2987.00    3.70865E-13
     2988.00    3.86617E-13
     2989.00    4.03958E-13
     2990.00    4.16263E-13
     2991.00    4.18575E-13
     2992.00    4.15684E-13
     2993.00    4.13202E-13
     2994.00    4.08784E-13
     2995.00    4.08574E-13
     2996.00    4.11498E-13
     2997.00    4.10676E-13
     2998.00    4.06061E-13
     2999.00    3.97124E-13
     3000.00    3.83918E-13
     3001.00    3.78774E-13
     3002.00    3.74518E-13
     3003.00    3.74668E-13
     3004.00    3.84136E-13
     3005.00    3.93647E-13
     3006.00    3.96536E-13
     3007.00    3.94447E-13
     3008.00    3.93983E-13
     3009.00    3.98774E-13
     3010.00    4.05553E-13
     3011.00    4.12659E-13
     3012.00    4.10443E-13
     3013.00    4.09822E-13
     3014.00    4.07099E-13
     3015.00    3.98378E-13
     3016.00    3.92229E-13
     3017.00    3.85129E-13
     3018.00    3.77629E-13
     3019.00    3.71764E-13
     3020.00    3.65357E-13
     3021.00    3.67409E-13
     3022.00    3.80054E-13
     3023.00    3.97077E-13
     3024.00    3.99131E-13
     3025.00    3.96715E-13
     3026.00    3.97382E-13
     3027.00    4.10279E-13
     3028.00    4.16751E-13
     3029.00    4.16271E-13
     3030.00    4.07778E-13
     3031.00    4.05743E-13
     3032.00    4.08416E-13
     3033.00    4.14827E-13
     3034.00    4.19809E-13
     3035.00    4.22931E-13
     3036.00    4.21721E-13
     3037.00    4.14019E-13
     3038.00    4.07728E-13
     3039.00    4.08833E-13
     3040.00    4.13759E-13
     3041.00    4.16205E-13
     3042.00    4.12872E-13
     3043.00    4.11980E-13
     3044.00    4.14086E-13
     3045.00    4.13856E-13
     3046.00    4.12894E-13
     3047.00    4.10852E-13
     3048.00    4.07532E-13
     3049.00    4.15671E-13
     3050.00    4.20211E-13
     3051.00    4.23291E-13
     3052.00    4.28063E-13
     3053.00    4.23769E-13
     3054.00    4.18530E-13
     3055.00    4.13347E-13
     3056.00    4.07579E-13
     3057.00    3.94301E-13
     3058.00    3.84221E-13
     3059.00    3.82378E-13
     3060.00    3.86231E-13
     3061.00    3.90405E-13
     3062.00    3.95305E-13
     3063.00    4.00205E-13
     3064.00    3.96874E-13
     3065.00    3.87165E-13
     3066.00    3.77455E-13
     3067.00    3.74876E-13
     3068.00    3.73867E-13
     3069.00    3.73519E-13
     3070.00    3.81249E-13
     3071.00    3.88979E-13
     3072.00    3.95306E-13
     3073.00    3.98809E-13
     3074.00    4.02312E-13
     3075.00    4.04973E-13
     3076.00    4.07044E-13
     3077.00    4.09115E-13
     3078.00    4.08454E-13
     3079.00    4.07289E-13
     3080.00    4.06275E-13
     3081.00    4.06618E-13
     3082.00    4.06960E-13
     3083.00    4.08034E-13
     3084.00    4.10428E-13
     3085.00    4.12822E-13
     3086.00    4.12700E-13
     3087.00    4.10988E-13
     3088.00    4.09275E-13
     3089.00    4.03739E-13
     3090.00    3.97624E-13
     3091.00    3.91173E-13
     3092.00    3.82361E-13
     3093.00    3.73550E-13
     3094.00    3.69614E-13
     3095.00    3.73603E-13
     3096.00    3.77593E-13
     3097.00    3.81057E-13
     3098.00    3.84222E-13
     3099.00    3.87387E-13
     3100.00    3.86679E-13
     3101.00    3.85509E-13
     3102.00    3.84700E-13
     3103.00    3.85955E-13
     3104.00    3.87209E-13
     3105.00    3.90995E-13
     3106.00    3.98492E-13
     3107.00    4.05989E-13
     3108.00    4.15973E-13
     3109.00    4.27230E-13
     3110.00    4.38487E-13
     3111.00    4.33844E-13
     3112.00    4.27776E-13
     3113.00    4.23276E-13
     3114.00    4.26225E-13
     3115.00    4.29175E-13
     3116.00    4.29009E-13
     3117.00    4.24713E-13
     3118.00    4.20417E-13
     3119.00    4.14413E-13
     3120.00    4.07627E-13
     3121.00    4.00842E-13
     3122.00    4.04017E-13
     3123.00    4.07803E-13
     3124.00    4.10535E-13
     3125.00    4.09013E-13
     3126.00    4.07490E-13
     3127.00    4.06173E-13
     3128.00    4.05102E-13
     3129.00    4.04031E-13
     3130.00    4.05571E-13
     3131.00    4.08175E-13
     3132.00    4.10778E-13
     3133.00    4.10020E-13
     3134.00    4.09147E-13
     3135.00    4.10600E-13
     3136.00    4.20153E-13
     3137.00    4.29706E-13
     3138.00    4.34562E-13
     3139.00    4.34312E-13
     3140.00    4.34062E-13
     3141.00    4.31305E-13
     3142.00    4.27646E-13
     3143.00    4.23986E-13
     3144.00    4.11765E-13
     3145.00    3.99470E-13
     3146.00    3.91960E-13
     3147.00    3.98992E-13
     3148.00    4.06023E-13
     3149.00    4.11749E-13
     3150.00    4.16187E-13
     3151.00    4.20625E-13
     3152.00    4.24284E-13
     3153.00    4.27698E-13
     3154.00    4.30915E-13
     3155.00    4.22064E-13
     3156.00    4.13213E-13
     3157.00    4.05783E-13
     3158.00    4.02152E-13
