*CD-3018140
*
*  Heap-Lindler STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    2.44062E-13
     2951.00    2.52355E-13
     2952.00    2.56663E-13
     2953.00    2.48617E-13
     2954.00    2.45686E-13
     2955.00    2.49372E-13
     2956.00    2.58171E-13
     2957.00    2.55238E-13
     2958.00    2.56909E-13
     2959.00    2.58296E-13
     2960.00    2.55942E-13
     2961.00    2.56788E-13
     2962.00    2.60495E-13
     2963.00    2.62454E-13
     2964.00    2.52767E-13
     2965.00    2.43751E-13
     2966.00    2.39802E-13
     2967.00    2.41039E-13
     2968.00    2.42264E-13
     2969.00    2.38631E-13
     2970.00    2.35055E-13
     2971.00    2.34423E-13
     2972.00    2.45089E-13
     2973.00    2.49818E-13
     2974.00    2.52723E-13
     2975.00    2.60807E-13
     2976.00    2.61473E-13
     2977.00    2.62663E-13
     2978.00    2.64422E-13
     2979.00    2.60237E-13
     2980.00    2.54816E-13
     2981.00    2.49411E-13
     2982.00    2.44695E-13
     2983.00    2.43384E-13
     2984.00    2.38564E-13
     2985.00    2.33368E-13
     2986.00    2.32386E-13
     2987.00    2.38720E-13
     2988.00    2.45732E-13
     2989.00    2.52950E-13
     2990.00    2.62058E-13
     2991.00    2.64142E-13
     2992.00    2.64062E-13
     2993.00    2.63601E-13
     2994.00    2.60106E-13
     2995.00    2.58488E-13
     2996.00    2.59230E-13
     2997.00    2.63415E-13
     2998.00    2.62597E-13
     2999.00    2.58098E-13
     3000.00    2.51127E-13
     3001.00    2.45278E-13
     3002.00    2.42434E-13
     3003.00    2.43647E-13
     3004.00    2.49567E-13
     3005.00    2.60151E-13
     3006.00    2.63259E-13
     3007.00    2.61054E-13
     3008.00    2.54788E-13
     3009.00    2.55024E-13
     3010.00    2.58703E-13
     3011.00    2.63846E-13
     3012.00    2.65321E-13
     3013.00    2.65779E-13
     3014.00    2.65158E-13
     3015.00    2.63321E-13
     3016.00    2.59489E-13
     3017.00    2.55346E-13
     3018.00    2.51081E-13
     3019.00    2.46844E-13
     3020.00    2.42513E-13
     3021.00    2.43991E-13
     3022.00    2.50884E-13
     3023.00    2.62440E-13
     3024.00    2.67237E-13
     3025.00    2.68199E-13
     3026.00    2.66661E-13
     3027.00    2.69210E-13
     3028.00    2.69071E-13
     3029.00    2.67985E-13
     3030.00    2.67110E-13
     3031.00    2.66146E-13
     3032.00    2.67327E-13
     3033.00    2.70068E-13
     3034.00    2.73236E-13
     3035.00    2.75402E-13
     3036.00    2.74517E-13
     3037.00    2.70228E-13
     3038.00    2.63447E-13
     3039.00    2.61861E-13
     3040.00    2.61153E-13
     3041.00    2.58728E-13
     3042.00    2.57559E-13
     3043.00    2.59672E-13
     3044.00    2.63452E-13
     3045.00    2.66153E-13
     3046.00    2.68047E-13
     3047.00    2.67807E-13
     3048.00    2.66144E-13
     3049.00    2.68525E-13
     3050.00    2.70151E-13
     3051.00    2.70842E-13
     3052.00    2.70406E-13
     3053.00    2.68635E-13
     3054.00    2.66299E-13
     3055.00    2.64118E-13
     3056.00    2.63269E-13
     3057.00    2.59115E-13
     3058.00    2.51613E-13
     3059.00    2.44513E-13
     3060.00    2.55729E-13
     3061.00    2.64603E-13
     3062.00    2.62251E-13
     3063.00    2.59898E-13
     3064.00    2.57446E-13
     3065.00    2.54861E-13
     3066.00    2.52275E-13
     3067.00    2.56586E-13
     3068.00    2.64084E-13
     3069.00    2.71581E-13
     3070.00    2.68939E-13
     3071.00    2.65645E-13
     3072.00    2.62496E-13
     3073.00    2.59943E-13
     3074.00    2.57391E-13
     3075.00    2.56669E-13
     3076.00    2.58178E-13
     3077.00    2.59686E-13
     3078.00    2.62656E-13
     3079.00    2.66232E-13
     3080.00    2.69809E-13
     3081.00    2.69045E-13
     3082.00    2.68111E-13
     3083.00    2.67528E-13
     3084.00    2.68203E-13
     3085.00    2.68879E-13
     3086.00    2.66723E-13
     3087.00    2.61420E-13
     3088.00    2.56118E-13
     3089.00    2.54129E-13
     3090.00    2.53370E-13
     3091.00    2.52610E-13
     3092.00    2.51073E-13
     3093.00    2.49525E-13
     3094.00    2.49368E-13
     3095.00    2.53604E-13
     3096.00    2.57840E-13
     3097.00    2.58054E-13
     3098.00    2.54186E-13
     3099.00    2.50318E-13
     3100.00    2.50315E-13
     3101.00    2.51588E-13
     3102.00    2.52900E-13
     3103.00    2.59314E-13
     3104.00    2.65729E-13
     3105.00    2.70029E-13
     3106.00    2.68411E-13
     3107.00    2.66794E-13
     3108.00    2.69777E-13
     3109.00    2.77021E-13
     3110.00    2.84266E-13
     3111.00    2.82324E-13
     3112.00    2.77711E-13
     3113.00    2.73272E-13
     3114.00    2.74379E-13
     3115.00    2.75486E-13
     3116.00    2.74538E-13
     3117.00    2.68461E-13
     3118.00    2.62385E-13
     3119.00    2.58876E-13
     3120.00    2.57539E-13
     3121.00    2.56202E-13
     3122.00    2.58853E-13
     3123.00    2.62516E-13
     3124.00    2.65942E-13
     3125.00    2.65122E-13
     3126.00    2.64301E-13
     3127.00    2.63782E-13
     3128.00    2.63937E-13
     3129.00    2.64091E-13
     3130.00    2.65672E-13
     3131.00    2.68354E-13
     3132.00    2.71035E-13
     3133.00    2.71202E-13
     3134.00    2.70818E-13
     3135.00    2.70368E-13
     3136.00    2.69120E-13
     3137.00    2.67872E-13
     3138.00    2.66352E-13
     3139.00    2.64284E-13
     3140.00    2.62215E-13
     3141.00    2.61905E-13
     3142.00    2.62832E-13
     3143.00    2.63758E-13
     3144.00    2.64954E-13
     3145.00    2.66200E-13
     3146.00    2.67581E-13
     3147.00    2.70194E-13
     3148.00    2.72808E-13
     3149.00    2.73960E-13
     3150.00    2.72447E-13
     3151.00    2.70934E-13
     3152.00    2.70530E-13
     3153.00    2.70834E-13
     3154.00    2.71139E-13
     3155.00    2.68079E-13
     3156.00    2.64497E-13
     3157.00    2.61409E-13
     3158.00    2.61913E-13
