*G24-3
*
*  Heap-Lindler STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    1.54230E-13
     2951.00    1.59858E-13
     2952.00    1.61362E-13
     2953.00    1.57628E-13
     2954.00    1.55388E-13
     2955.00    1.57230E-13
     2956.00    1.62974E-13
     2957.00    1.61130E-13
     2958.00    1.61522E-13
     2959.00    1.62203E-13
     2960.00    1.61618E-13
     2961.00    1.64553E-13
     2962.00    1.66737E-13
     2963.00    1.66774E-13
     2964.00    1.61288E-13
     2965.00    1.52500E-13
     2966.00    1.46528E-13
     2967.00    1.45184E-13
     2968.00    1.50992E-13
     2969.00    1.50137E-13
     2970.00    1.47845E-13
     2971.00    1.47538E-13
     2972.00    1.53371E-13
     2973.00    1.56366E-13
     2974.00    1.58727E-13
     2975.00    1.65261E-13
     2976.00    1.66384E-13
     2977.00    1.67695E-13
     2978.00    1.69427E-13
     2979.00    1.66048E-13
     2980.00    1.60939E-13
     2981.00    1.56084E-13
     2982.00    1.52668E-13
     2983.00    1.49923E-13
     2984.00    1.44772E-13
     2985.00    1.40553E-13
     2986.00    1.43318E-13
     2987.00    1.48197E-13
     2988.00    1.54906E-13
     2989.00    1.62664E-13
     2990.00    1.67583E-13
     2991.00    1.70271E-13
     2992.00    1.69476E-13
     2993.00    1.64337E-13
     2994.00    1.60167E-13
     2995.00    1.59892E-13
     2996.00    1.62138E-13
     2997.00    1.65387E-13
     2998.00    1.65294E-13
     2999.00    1.62111E-13
     3000.00    1.56757E-13
     3001.00    1.52893E-13
     3002.00    1.50094E-13
     3003.00    1.49620E-13
     3004.00    1.52161E-13
     3005.00    1.56916E-13
     3006.00    1.59690E-13
     3007.00    1.60977E-13
     3008.00    1.61086E-13
     3009.00    1.63092E-13
     3010.00    1.64925E-13
     3011.00    1.65954E-13
     3012.00    1.64495E-13
     3013.00    1.64774E-13
     3014.00    1.64233E-13
     3015.00    1.61958E-13
     3016.00    1.58860E-13
     3017.00    1.53981E-13
     3018.00    1.47914E-13
     3019.00    1.41049E-13
     3020.00    1.36654E-13
     3021.00    1.39091E-13
     3022.00    1.47195E-13
     3023.00    1.57451E-13
     3024.00    1.59338E-13
     3025.00    1.59284E-13
     3026.00    1.59561E-13
     3027.00    1.65347E-13
     3028.00    1.65689E-13
     3029.00    1.64676E-13
     3030.00    1.65668E-13
     3031.00    1.64875E-13
     3032.00    1.66580E-13
     3033.00    1.69900E-13
     3034.00    1.72319E-13
     3035.00    1.73974E-13
     3036.00    1.73012E-13
     3037.00    1.69136E-13
     3038.00    1.64622E-13
     3039.00    1.64046E-13
     3040.00    1.63311E-13
     3041.00    1.59364E-13
     3042.00    1.60501E-13
     3043.00    1.64663E-13
     3044.00    1.69613E-13
     3045.00    1.70743E-13
     3046.00    1.68794E-13
     3047.00    1.66226E-13
     3048.00    1.63989E-13
     3049.00    1.65282E-13
     3050.00    1.67345E-13
     3051.00    1.69727E-13
     3052.00    1.72185E-13
     3053.00    1.70233E-13
     3054.00    1.67154E-13
     3055.00    1.63983E-13
     3056.00    1.62579E-13
     3057.00    1.58006E-13
     3058.00    1.54261E-13
     3059.00    1.52188E-13
     3060.00    1.52803E-13
     3061.00    1.53684E-13
     3062.00    1.55016E-13
     3063.00    1.56348E-13
     3064.00    1.55008E-13
     3065.00    1.52067E-13
     3066.00    1.49125E-13
     3067.00    1.48306E-13
     3068.00    1.47774E-13
     3069.00    1.47610E-13
     3070.00    1.49773E-13
     3071.00    1.51936E-13
     3072.00    1.53847E-13
     3073.00    1.55368E-13
     3074.00    1.56888E-13
     3075.00    1.57964E-13
     3076.00    1.58798E-13
     3077.00    1.59632E-13
     3078.00    1.62049E-13
     3079.00    1.64634E-13
     3080.00    1.66710E-13
     3081.00    1.66093E-13
     3082.00    1.65476E-13
     3083.00    1.65726E-13
     3084.00    1.67198E-13
     3085.00    1.68670E-13
     3086.00    1.67214E-13
     3087.00    1.64320E-13
     3088.00    1.61426E-13
     3089.00    1.61561E-13
     3090.00    1.61936E-13
     3091.00    1.61122E-13
     3092.00    1.54966E-13
     3093.00    1.48810E-13
     3094.00    1.45861E-13
     3095.00    1.47031E-13
     3096.00    1.48202E-13
     3097.00    1.49382E-13
     3098.00    1.50568E-13
     3099.00    1.51754E-13
     3100.00    1.50686E-13
     3101.00    1.49499E-13
     3102.00    1.49353E-13
     3103.00    1.53255E-13
     3104.00    1.57157E-13
     3105.00    1.61126E-13
     3106.00    1.65174E-13
     3107.00    1.69222E-13
     3108.00    1.70432E-13
     3109.00    1.70518E-13
     3110.00    1.70603E-13
     3111.00    1.68190E-13
     3112.00    1.65705E-13
     3113.00    1.64258E-13
     3114.00    1.66336E-13
     3115.00    1.68414E-13
     3116.00    1.69401E-13
     3117.00    1.69220E-13
     3118.00    1.69040E-13
     3119.00    1.66040E-13
     3120.00    1.62044E-13
     3121.00    1.58048E-13
     3122.00    1.59077E-13
     3123.00    1.60133E-13
     3124.00    1.61189E-13
     3125.00    1.62244E-13
     3126.00    1.63299E-13
     3127.00    1.62868E-13
     3128.00    1.60985E-13
     3129.00    1.59102E-13
     3130.00    1.61093E-13
     3131.00    1.64296E-13
     3132.00    1.67441E-13
     3133.00    1.67227E-13
     3134.00    1.67014E-13
     3135.00    1.67019E-13
     3136.00    1.67606E-13
     3137.00    1.68192E-13
     3138.00    1.69033E-13
     3139.00    1.70100E-13
     3140.00    1.71167E-13
     3141.00    1.69728E-13
     3142.00    1.67600E-13
     3143.00    1.65521E-13
     3144.00    1.64631E-13
     3145.00    1.63742E-13
     3146.00    1.62933E-13
     3147.00    1.62318E-13
     3148.00    1.61704E-13
     3149.00    1.64118E-13
     3150.00    1.68998E-13
     3151.00    1.73877E-13
     3152.00    1.74134E-13
     3153.00    1.73285E-13
     3154.00    1.72248E-13
     3155.00    1.68402E-13
     3156.00    1.64557E-13
     3157.00    1.61605E-13
     3158.00    1.60565E-13
