 *HD103036
*
*  Heap-Lindler STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    3.34941E-14
     2951.00    3.66941E-14
     2952.00    3.70928E-14
     2953.00    3.73188E-14
     2954.00    3.78497E-14
     2955.00    3.95414E-14
     2956.00    3.99306E-14
     2957.00    4.05815E-14
     2958.00    4.19249E-14
     2959.00    4.50115E-14
     2960.00    4.36415E-14
     2961.00    4.23407E-14
     2962.00    4.31394E-14
     2963.00    4.15911E-14
     2964.00    3.97686E-14
     2965.00    3.74712E-14
     2966.00    3.43226E-14
     2967.00    3.33432E-14
     2968.00    3.36759E-14
     2969.00    3.45338E-14
     2970.00    3.31543E-14
     2971.00    3.52923E-14
     2972.00    3.73653E-14
     2973.00    3.80793E-14
     2974.00    4.03985E-14
     2975.00    4.36117E-14
     2976.00    4.67692E-14
     2977.00    4.87512E-14
     2978.00    4.99837E-14
     2979.00    4.77474E-14
     2980.00    4.30162E-14
     2981.00    3.95329E-14
     2982.00    3.68312E-14
     2983.00    3.47487E-14
     2984.00    3.33350E-14
     2985.00    3.35345E-14
     2986.00    3.59733E-14
     2987.00    3.97295E-14
     2988.00    4.41468E-14
     2989.00    4.55017E-14
     2990.00    4.80274E-14
     2991.00    5.03958E-14
     2992.00    4.80162E-14
     2993.00    4.74469E-14
     2994.00    4.67522E-14
     2995.00    4.55699E-14
     2996.00    4.58123E-14
     2997.00    4.65356E-14
     2998.00    4.68504E-14
     2999.00    4.59616E-14
     3000.00    4.32191E-14
     3001.00    4.07100E-14
     3002.00    3.89006E-14
     3003.00    3.88462E-14
     3004.00    4.30821E-14
     3005.00    4.74752E-14
     3006.00    5.06157E-14
     3007.00    4.88077E-14
     3008.00    4.77336E-14
     3009.00    4.81739E-14
     3010.00    5.08714E-14
     3011.00    5.54230E-14
     3012.00    5.64646E-14
     3013.00    5.49354E-14
     3014.00    5.24496E-14
     3015.00    5.12841E-14
     3016.00    4.97626E-14
     3017.00    4.76035E-14
     3018.00    4.50456E-14
     3019.00    4.30325E-14
     3020.00    4.11772E-14
     3021.00    3.92802E-14
     3022.00    4.24175E-14
     3023.00    4.80393E-14
     3024.00    5.33905E-14
     3025.00    5.36726E-14
     3026.00    5.34463E-14
     3027.00    5.52719E-14
     3028.00    5.86499E-14
     3029.00    5.90217E-14
     3030.00    5.73204E-14
     3031.00    5.65395E-14
     3032.00    5.81560E-14
     3033.00    5.92391E-14
     3034.00    5.90528E-14
     3035.00    5.85562E-14
     3036.00    5.90654E-14
     3037.00    5.70570E-14
     3038.00    5.55116E-14
     3039.00    5.51063E-14
     3040.00    5.73114E-14
     3041.00    5.62905E-14
     3042.00    5.50718E-14
     3043.00    5.49032E-14
     3044.00    5.63263E-14
     3045.00    5.78605E-14
     3046.00    5.91150E-14
     3047.00    5.95633E-14
     3048.00    5.79325E-14
     3049.00    5.89096E-14
     3050.00    6.17780E-14
     3051.00    6.27717E-14
     3052.00    6.35527E-14
     3053.00    6.20706E-14
     3054.00    5.76232E-14
     3055.00    5.24681E-14
     3056.00    5.14554E-14
     3057.00    5.11760E-14
     3058.00    4.83355E-14
     3059.00    4.50737E-14
     3060.00    4.50586E-14
     3061.00    4.49258E-14
     3062.00    4.27913E-14
     3063.00    4.06569E-14
     3064.00    4.03458E-14
     3065.00    4.04302E-14
     3066.00    4.05450E-14
     3067.00    4.10213E-14
     3068.00    4.14975E-14
     3069.00    4.27682E-14
     3070.00    4.56272E-14
     3071.00    4.84862E-14
     3072.00    5.00709E-14
     3073.00    5.07674E-14
     3074.00    5.14638E-14
     3075.00    5.15848E-14
     3076.00    5.16004E-14
     3077.00    5.17549E-14
     3078.00    5.31478E-14
     3079.00    5.45407E-14
     3080.00    5.42206E-14
     3081.00    5.08105E-14
     3082.00    4.74004E-14
     3083.00    4.91335E-14
     3084.00    5.41210E-14
     3085.00    5.91085E-14
     3086.00    5.53451E-14
     3087.00    5.02543E-14
     3088.00    4.55986E-14
     3089.00    4.40141E-14
     3090.00    4.24295E-14
     3091.00    4.10510E-14
     3092.00    4.00087E-14
     3093.00    3.89664E-14
     3094.00    4.01789E-14
     3095.00    4.26834E-14
     3096.00    4.51878E-14
     3097.00    4.39627E-14
     3098.00    4.22838E-14
     3099.00    4.10164E-14
     3100.00    4.21298E-14
     3101.00    4.32432E-14
     3102.00    4.59589E-14
     3103.00    5.10464E-14
     3104.00    5.61340E-14
     3105.00    5.82959E-14
     3106.00    5.89439E-14
     3107.00    5.95920E-14
     3108.00    6.27438E-14
     3109.00    6.61288E-14
     3110.00    6.89077E-14
     3111.00    6.87401E-14
     3112.00    6.85725E-14
     3113.00    6.74836E-14
     3114.00    6.51556E-14
     3115.00    6.28276E-14
     3116.00    6.03400E-14
     3117.00    5.77781E-14
     3118.00    5.52162E-14
     3119.00    5.31833E-14
     3120.00    5.11852E-14
     3121.00    4.97973E-14
     3122.00    5.09460E-14
     3123.00    5.20948E-14
     3124.00    5.23655E-14
     3125.00    5.15616E-14
     3126.00    5.07578E-14
     3127.00    5.15969E-14
     3128.00    5.31219E-14
     3129.00    5.46468E-14
     3130.00    5.65779E-14
     3131.00    5.85253E-14
     3132.00    6.06388E-14
     3133.00    6.33512E-14
     3134.00    6.60635E-14
     3135.00    6.67613E-14
     3136.00    6.52144E-14
     3137.00    6.36675E-14
     3138.00    6.51183E-14
     3139.00    6.76847E-14
     3140.00    7.02511E-14
     3141.00    6.96808E-14
     3142.00    6.90614E-14
     3143.00    6.81240E-14
     3144.00    6.61816E-14
     3145.00    6.42392E-14
     3146.00    6.49074E-14
     3147.00    6.82258E-14
     3148.00    7.15442E-14
     3149.00    7.30801E-14
     3150.00    7.40284E-14
     3151.00    7.49563E-14
     3152.00    7.33209E-14
     3153.00    7.16854E-14
     3154.00    6.98886E-14
     3155.00    6.76413E-14
     3156.00    6.53940E-14
     3157.00    6.36807E-14
     3158.00    6.24614E-14
