*HD111721h
*
*  Heap STIS not version 2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    4.09577E-13
     2952.74    4.60952E-13
     2955.48    4.74256E-13
     2958.22    4.92612E-13
     2960.96    4.92065E-13
     2963.70    4.83924E-13
     2966.44    3.45336E-13
     2969.18    3.86857E-13
     2971.92    4.16556E-13
     2974.66    4.90656E-13
     2977.40    5.74288E-13
     2980.14    4.68350E-13
     2982.88    3.78473E-13
     2985.62    3.63251E-13
     2988.36    4.58528E-13
     2991.10    5.55834E-13
     2993.84    4.95075E-13
     2996.58    5.23448E-13
     2999.32    4.64411E-13
     3002.06    3.91855E-13
     3004.80    4.73985E-13
     3007.54    4.80376E-13
     3010.28    5.41592E-13
     3013.02    5.40313E-13
     3015.76    5.02941E-13
     3018.50    4.30836E-13
     3021.24    3.84605E-13
     3023.98    5.37432E-13
     3026.72    5.59391E-13
     3029.46    5.87508E-13
     3032.20    5.88889E-13
     3034.94    6.28474E-13
     3037.68    5.89075E-13
     3040.42    5.65623E-13
     3043.16    5.60739E-13
     3045.90    6.00079E-13
     3048.64    5.90257E-13
     3051.38    6.49556E-13
     3054.12    6.19403E-13
     3056.86    5.22252E-13
     3059.60    4.57404E-13
     3062.34    5.12165E-13
     3065.08    4.47482E-13
     3067.82    4.58961E-13
     3070.56    5.10609E-13
     3073.30    5.53565E-13
     3076.04    5.75689E-13
     3078.78    5.78769E-13
     3081.52    5.73582E-13
     3084.26    5.85054E-13
     3087.00    5.40715E-13
     3089.74    4.78144E-13
     3092.48    4.54640E-13
     3095.22    4.67680E-13
     3097.96    4.55319E-13
     3100.70    4.34757E-13
     3103.44    5.37046E-13
     3106.18    6.26688E-13
     3108.92    6.56853E-13
     3111.66    6.68460E-13
     3114.40    6.68845E-13
     3117.14    5.90506E-13
     3119.88    5.24957E-13
     3122.62    5.24662E-13
     3125.36    5.33608E-13
     3128.10    5.28267E-13
     3130.84    5.51663E-13
     3133.58    5.62043E-13
     3136.32    5.76386E-13
     3139.06    6.16663E-13
     3141.80    5.80033E-13
     3144.54    4.86414E-13
     3147.28    5.06108E-13
     3150.02    6.01619E-13
     3152.76    6.15480E-13
     3155.50    5.41236E-13
     3158.24    4.46647E-13
     3160.98    4.36639E-13
     3163.72    4.98538E-13
     3166.46    5.63337E-13
     3169.20    6.12408E-13
     3171.94    6.96186E-13
     3174.68    7.29759E-13
     3177.42    6.79813E-13
     3180.16    5.72415E-13
     3182.90    5.17010E-13
     3185.64    5.44633E-13
     3188.38    6.15132E-13
     3191.12    5.83008E-13
     3193.86    5.49724E-13
     3196.60    6.21787E-13
     3199.34    6.96818E-13
     3202.08    7.25588E-13
     3204.82    7.51980E-13
     3207.56    7.43351E-13
     3210.30    6.56811E-13
     3213.04    5.80228E-13
     3215.78    6.19927E-13
     3218.52    6.97793E-13
     3221.26    7.07578E-13
     3224.00    6.73056E-13
     3226.74    6.27786E-13
     3229.48    6.02084E-13
     3232.22    6.06958E-13
     3234.96    5.94738E-13
     3237.70    6.15595E-13
     3240.44    6.83723E-13
     3243.18    7.36430E-13
     3245.92    7.68400E-13
     3248.66    7.49540E-13
     3251.40    7.19374E-13
     3254.14    7.62935E-13
     3256.88    8.47857E-13
     3259.62    9.17867E-13
     3262.36    8.99968E-13
     3265.10    8.67382E-13
     3267.84    8.95012E-13
     3270.58    8.85540E-13
     3273.32    8.58773E-13
     3276.06    8.46278E-13
     3278.80    8.35723E-13
     3281.54    8.47208E-13
     3284.28    8.65980E-13
     3287.02    8.44094E-13
     3289.76    8.77176E-13
     3292.50    9.81163E-13
     3295.24    1.02259E-12
     3297.98    1.01310E-12
     3300.72    9.88894E-13
     3303.46    9.43564E-13
     3306.20    9.03576E-13
     3308.94    9.08511E-13
     3311.68    9.18333E-13
     3314.42    9.14039E-13
     3317.16    9.27793E-13
     3319.90    9.17470E-13
     3322.64    8.64914E-13
     3325.38    8.77138E-13
     3328.12    9.01970E-13
     3330.86    9.04829E-13
     3333.60    8.90393E-13
     3336.34    8.49681E-13
     3339.08    8.59430E-13
     3341.82    8.76516E-13
     3344.56    9.16614E-13
     3347.30    8.99893E-13
     3350.04    8.46605E-13
     3352.78    9.02046E-13
     3355.52    9.57890E-13
     3358.26    8.40558E-13
     3361.00    6.84828E-13
     3363.74    7.79015E-13
     3366.48    8.90249E-13
     3369.22    8.18516E-13
     3371.96    7.52728E-13
     3374.70    8.38219E-13
     3377.44    9.28722E-13
     3380.18    8.69850E-13
     3382.92    8.43966E-13
     3385.66    9.09782E-13
     3388.40    9.49915E-13
     3391.14    9.19246E-13
     3393.88    8.95046E-13
     3396.62    9.74054E-13
     3399.36    1.06480E-12
     3402.10    1.04642E-12
     3404.84    9.97705E-13
     3407.58    9.67695E-13
     3410.32    9.62416E-13
     3413.06    9.43293E-13
     3415.80    9.41111E-13
     3418.54    1.00625E-12
     3421.28    1.04733E-12
     3424.02    1.03307E-12
     3426.76    1.03450E-12
     3429.50    1.07966E-12
     3432.24    1.07703E-12
     3434.98    1.04227E-12
     3437.72    1.03575E-12
     3440.46    9.12279E-13
     3443.20    8.21719E-13
     3445.94    8.99294E-13
     3448.68    1.01028E-12
     3451.42    1.04330E-12
     3454.16    1.03466E-12
     3456.90    1.03901E-12
     3459.64    9.91942E-13
     3462.38    9.84665E-13
     3465.12    1.02349E-12
     3467.86    1.04481E-12
     3470.60    1.07573E-12
     3473.34    1.00761E-12
     3476.08    9.02581E-13
     3478.82    9.40321E-13
     3481.56    1.02685E-12
     3484.30    1.04872E-12
     3487.04    1.07231E-12
     3489.78    1.03667E-12
     3492.52    9.64265E-13
     3495.26    9.41382E-13
     3498.00    9.63525E-13
     3500.74    1.08945E-12
     3503.48    1.14836E-12
     3506.22    1.09500E-12
     3508.96    1.06106E-12
     3511.70    1.03699E-12
     3514.44    1.01629E-12
     3517.18    1.06827E-12
     3519.92    1.08471E-12
