*hd132475.dat  
*
*  Heap-Lindler STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00   0.455478
     2952.74   0.486132
     2955.48   0.488712
     2958.22   0.507343
     2960.96   0.507180
     2963.70   0.503505
     2966.44   0.431950
     2969.18   0.431119
     2971.92   0.459895
     2974.66   0.502008
     2977.40   0.530600
     2980.14   0.497011
     2982.88   0.447125
     2985.62   0.418205
     2988.36   0.467375
     2991.10   0.526162
     2993.84   0.510278
     2996.58   0.507515
     2999.32   0.484598
     3002.06   0.458499
     3004.80   0.492387
     3007.54   0.502595
     3010.28   0.517839
     3013.02   0.518740
     3015.76   0.495876
     3018.50   0.462231
     3021.24   0.454547
     3023.98   0.525195
     3026.72   0.535897
     3029.46   0.543368
     3032.20   0.538809
     3034.94   0.548682
     3037.68   0.537622
     3040.42   0.537274
     3043.16   0.528382
     3045.90   0.539674
     3048.64   0.546322
     3051.38   0.553255
     3054.12   0.540504
     3056.86   0.503034
     3059.60   0.486975
     3062.34   0.488236
     3065.08   0.460598
     3067.82   0.472804
     3070.56   0.493596
     3073.30   0.504533
     3076.04   0.508481
     3078.78   0.506283
     3081.52   0.521233
     3084.26   0.520534
     3087.00   0.495004
     3089.74   0.457609
     3092.48   0.446655
     3095.22   0.450675
     3097.96   0.449695
     3100.70   0.458782
     3103.44   0.505511
     3106.18   0.535675
     3108.92   0.555143
     3111.66   0.555882
     3114.40   0.545708
     3117.14   0.517679
     3119.88   0.499466
     3122.62   0.498352
     3125.36   0.491253
     3128.10   0.483574
     3130.84   0.497468
     3133.58   0.519552
     3136.32   0.532972
     3139.06   0.538058
     3141.80   0.500893
     3144.54   0.466132
     3147.28   0.504243
     3150.02   0.535646
     3152.76   0.527724
     3155.50   0.495784
     3158.24   0.459201
     3160.98   0.481279
     3163.72   0.507810
     3166.46   0.521672
     3169.20   0.549194
     3171.94   0.576274
     3174.68   0.574148
     3177.42   0.536480
     3180.16   0.493207
     3182.90   0.491388
     3185.64   0.522322
     3188.38   0.530771
     3191.12   0.510355
     3193.86   0.512605
     3196.60   0.539223
     3199.34   0.564742
     3202.08   0.583253
     3204.82   0.596929
     3207.56   0.580546
     3210.30   0.536916
     3213.04   0.525142
     3215.78   0.543786
     3218.52   0.572390
     3221.26   0.568646
     3224.00   0.561544
     3226.74   0.530921
     3229.48   0.518363
     3232.22   0.525948
     3234.96   0.525792
     3237.70   0.548153
     3240.44   0.577298
     3243.18   0.588396
     3245.92   0.585887
     3248.66   0.569564
     3251.40   0.575544
     3254.14   0.605930
     3256.88   0.631125
     3259.62   0.639531
     3262.36   0.632439
     3265.10   0.629182
     3267.84   0.635331
     3270.58   0.631482
     3273.32   0.625033
     3276.06   0.610847
     3278.80   0.610135
     3281.54   0.623359
     3284.28   0.621460
     3287.02   0.615485
     3289.76   0.648534
     3292.50   0.674209
     3295.24   0.678373
     3297.98   0.681717
     3300.72   0.671347
     3303.46   0.651191
     3306.20   0.637114
     3308.94   0.645687
     3311.68   0.660892
     3314.42   0.649810
     3317.16   0.648508
     3319.90   0.637515
     3322.64   0.628746
     3325.38   0.635079
     3328.12   0.631179
     3330.86   0.636970
     3333.60   0.637085
     3336.34   0.623761
     3339.08   0.618591
     3341.82   0.626790
     3344.56   0.642061
     3347.30   0.620605
     3350.04   0.625693
     3352.78   0.644888
     3355.52   0.651850
     3358.26   0.623077
     3361.00   0.595494
     3363.74   0.626335
     3366.48   0.627844
     3369.22   0.603329
     3371.96   0.595393
     3374.70   0.625576
     3377.44   0.635650
     3380.18   0.613731
     3382.92   0.625214
     3385.66   0.645508
     3388.40   0.651191
     3391.14   0.642021
     3393.88   0.643893
     3396.62   0.672199
     3399.36   0.691769
     3402.10   0.668477
     3404.84   0.647815
     3407.58   0.641754
     3410.32   0.643903
     3413.06   0.634897
     3415.80   0.645073
     3418.54   0.669152
     3421.28   0.667888
     3424.02   0.656747
     3426.76   0.669519
     3429.50   0.687104
     3432.24   0.684970
     3434.98   0.691814
     3437.72   0.657904
     3440.46   0.611912
     3443.20   0.605751
     3445.94   0.643863
     3448.68   0.664089
     3451.42   0.666050
     3454.16   0.672121
     3456.90   0.664911
     3459.64   0.652930
     3462.38   0.659786
     3465.12   0.665876
     3467.86   0.677435
     3470.60   0.671980
     3473.34   0.645189
     3476.08   0.634447
     3478.82   0.660431
     3481.56   0.675747
     3484.30   0.676380
     3487.04   0.676909
     3489.78   0.655873
     3492.52   0.648987
     3495.26   0.639156
     3498.00   0.676836
     3500.74   0.700968
     3503.48   0.686573
     3506.22   0.677408
     3508.96   0.671526
     3511.70   0.656858
     3514.44   0.657850
     3517.18   0.673298
     3519.92   0.664416
     3522.66   0.635935
     3525.40   0.618471
     3528.14   0.651163
     3530.88   0.681922
     3533.62   0.695206
     3536.36   0.704779
     3539.10   0.714137
     3541.84   0.716970
     3544.58   0.720747
     3547.32   0.722272
     3550.06   0.724397
     3552.80   0.709277
     3555.54   0.703056
     3558.28   0.703715
     3561.02   0.703503
     3563.76   0.682506
     3566.50   0.652725
     3569.24   0.630249
     3571.98   0.634348
     3574.72   0.646573
     3577.46   0.658847
     3580.20   0.642804
     3582.94   0.633824
     3585.68   0.614542
     3588.42   0.620535
     3591.16   0.667497
     3593.90   0.697573
     3596.64   0.710437
     3599.38   0.712178
     3602.12   0.697972
     3604.86   0.681371
     3607.60   0.667562
     3610.34   0.665198
     3613.08   0.671438
     3615.82   0.679143
     3618.56   0.667059
     3621.30   0.680241
     3624.04   0.703292
     3626.78   0.721258
     3629.52   0.698916
     3632.26   0.667725
     3635.00   0.682545
     3637.74   0.710252
     3640.48   0.723226
     3643.22   0.700050
     3645.96   0.681582
     3648.70   0.688702
     3651.44   0.705493
     3654.18   0.733040
     3656.92   0.750364
     3659.66   0.747377
     3662.40   0.747551
     3665.14   0.742326
     3667.88   0.734120
     3670.62   0.737530
     3673.36   0.738907
     3676.10   0.737768
