 *HD16031
*
*  heap-Lindler STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    3.22608E-13
     2951.00    3.33514E-13
     2952.00    3.38507E-13
     2953.00    3.33576E-13
     2954.00    3.22926E-13
     2955.00    3.27846E-13
     2956.00    3.41347E-13
     2957.00    3.40478E-13
     2958.00    3.42392E-13
     2959.00    3.42120E-13
     2960.00    3.38941E-13
     2961.00    3.41301E-13
     2962.00    3.46935E-13
     2963.00    3.49371E-13
     2964.00    3.42713E-13
     2965.00    3.21044E-13
     2966.00    3.13250E-13
     2967.00    3.16868E-13
     2968.00    3.25232E-13
     2969.00    3.17636E-13
     2970.00    3.10276E-13
     2971.00    3.08617E-13
     2972.00    3.26339E-13
     2973.00    3.29567E-13
     2974.00    3.33475E-13
     2975.00    3.48543E-13
     2976.00    3.43765E-13
     2977.00    3.46901E-13
     2978.00    3.52657E-13
     2979.00    3.49783E-13
     2980.00    3.40642E-13
     2981.00    3.31199E-13
     2982.00    3.23613E-13
     2983.00    3.24533E-13
     2984.00    3.14707E-13
     2985.00    3.05390E-13
     2986.00    3.03010E-13
     2987.00    3.13805E-13
     2988.00    3.27532E-13
     2989.00    3.39891E-13
     2990.00    3.43348E-13
     2991.00    3.47380E-13
     2992.00    3.50977E-13
     2993.00    3.52570E-13
     2994.00    3.44867E-13
     2995.00    3.42600E-13
     2996.00    3.44468E-13
     2997.00    3.49970E-13
     2998.00    3.48034E-13
     2999.00    3.40728E-13
     3000.00    3.31010E-13
     3001.00    3.22518E-13
     3002.00    3.21063E-13
     3003.00    3.22780E-13
     3004.00    3.27536E-13
     3005.00    3.37002E-13
     3006.00    3.39443E-13
     3007.00    3.39103E-13
     3008.00    3.37764E-13
     3009.00    3.42113E-13
     3010.00    3.46541E-13
     3011.00    3.48613E-13
     3012.00    3.45061E-13
     3013.00    3.46424E-13
     3014.00    3.45396E-13
     3015.00    3.41717E-13
     3016.00    3.36183E-13
     3017.00    3.31899E-13
     3018.00    3.27545E-13
     3019.00    3.22312E-13
     3020.00    3.11075E-13
     3021.00    3.12289E-13
     3022.00    3.23894E-13
     3023.00    3.45821E-13
     3024.00    3.48390E-13
     3025.00    3.47966E-13
     3026.00    3.47303E-13
     3027.00    3.51282E-13
     3028.00    3.52002E-13
     3029.00    3.51534E-13
     3030.00    3.49935E-13
     3031.00    3.42737E-13
     3032.00    3.45904E-13
     3033.00    3.53695E-13
     3034.00    3.62331E-13
     3035.00    3.64839E-13
     3036.00    3.63408E-13
     3037.00    3.58664E-13
     3038.00    3.51217E-13
     3039.00    3.52004E-13
     3040.00    3.51003E-13
     3041.00    3.46585E-13
     3042.00    3.43267E-13
     3043.00    3.45589E-13
     3044.00    3.48908E-13
     3045.00    3.50338E-13
     3046.00    3.53567E-13
     3047.00    3.53619E-13
     3048.00    3.52210E-13
     3049.00    3.52479E-13
     3050.00    3.52803E-13
     3051.00    3.55166E-13
     3052.00    3.59159E-13
     3053.00    3.60229E-13
     3054.00    3.55665E-13
     3055.00    3.51139E-13
     3056.00    3.49619E-13
     3057.00    3.40920E-13
     3058.00    3.29566E-13
     3059.00    3.21394E-13
     3060.00    3.26376E-13
     3061.00    3.31357E-13
     3062.00    3.32663E-13
     3063.00    3.31138E-13
     3064.00    3.29613E-13
     3065.00    3.24723E-13
     3066.00    3.19099E-13
     3067.00    3.14432E-13
     3068.00    3.21189E-13
     3069.00    3.27947E-13
     3070.00    3.32890E-13
     3071.00    3.34204E-13
     3072.00    3.35517E-13
     3073.00    3.37261E-13
     3074.00    3.39305E-13
     3075.00    3.41350E-13
     3076.00    3.41763E-13
     3077.00    3.41878E-13
     3078.00    3.41953E-13
     3079.00    3.41668E-13
     3080.00    3.41383E-13
     3081.00    3.42962E-13
     3082.00    3.47883E-13
     3083.00    3.52804E-13
     3084.00    3.53971E-13
     3085.00    3.52779E-13
     3086.00    3.51586E-13
     3087.00    3.41960E-13
     3088.00    3.31077E-13
     3089.00    3.21060E-13
     3090.00    3.17020E-13
     3091.00    3.12980E-13
     3092.00    3.11556E-13
     3093.00    3.14352E-13
     3094.00    3.17148E-13
     3095.00    3.17101E-13
     3096.00    3.15447E-13
     3097.00    3.13793E-13
     3098.00    3.12089E-13
     3099.00    3.10379E-13
     3100.00    3.10043E-13
     3101.00    3.17418E-13
     3102.00    3.24792E-13
     3103.00    3.31870E-13
     3104.00    3.38514E-13
     3105.00    3.45158E-13
     3106.00    3.48082E-13
     3107.00    3.49119E-13
     3108.00    3.50156E-13
     3109.00    3.53914E-13
     3110.00    3.57910E-13
     3111.00    3.60330E-13
     3112.00    3.55367E-13
     3113.00    3.50403E-13
     3114.00    3.48111E-13
     3115.00    3.49329E-13
     3116.00    3.50547E-13
     3117.00    3.47669E-13
     3118.00    3.42936E-13
     3119.00    3.38202E-13
     3120.00    3.36900E-13
     3121.00    3.35799E-13
     3122.00    3.34771E-13
     3123.00    3.34035E-13
     3124.00    3.33299E-13
     3125.00    3.33407E-13
     3126.00    3.34520E-13
     3127.00    3.35634E-13
     3128.00    3.36309E-13
     3129.00    3.36808E-13
     3130.00    3.37307E-13
     3131.00    3.40370E-13
     3132.00    3.43515E-13
     3133.00    3.45969E-13
     3134.00    3.46043E-13
     3135.00    3.46116E-13
     3136.00    3.48464E-13
     3137.00    3.53261E-13
     3138.00    3.58059E-13
     3139.00    3.55289E-13
     3140.00    3.49826E-13
     3141.00    3.44363E-13
     3142.00    3.41684E-13
     3143.00    3.39023E-13
     3144.00    3.36023E-13
     3145.00    3.32009E-13
     3146.00    3.27995E-13
     3147.00    3.31372E-13
     3148.00    3.41963E-13
     3149.00    3.52554E-13
     3150.00    3.54957E-13
     3151.00    3.54806E-13
     3152.00    3.54584E-13
     3153.00    3.50586E-13
     3154.00    3.46587E-13
     3155.00    3.42531E-13
     3156.00    3.38324E-13
     3157.00    3.34117E-13
     3158.00    3.30415E-13
