*HD161770                                                                      
*
*  Heap-LindlerSTIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    1.76503E-13
     2951.00    1.83852E-13
     2952.00    1.87913E-13
     2953.00    1.82695E-13
     2954.00    1.82706E-13
     2955.00    1.86926E-13
     2956.00    1.91896E-13
     2957.00    1.91760E-13
     2958.00    1.92589E-13
     2959.00    1.95212E-13
     2960.00    1.93776E-13
     2961.00    1.94978E-13
     2962.00    1.96273E-13
     2963.00    1.95841E-13
     2964.00    1.87155E-13
     2965.00    1.76987E-13
     2966.00    1.68480E-13
     2967.00    1.68308E-13
     2968.00    1.70315E-13
     2969.00    1.69414E-13
     2970.00    1.66114E-13
     2971.00    1.71193E-13
     2972.00    1.77172E-13
     2973.00    1.84973E-13
     2974.00    1.95368E-13
     2975.00    1.97407E-13
     2976.00    1.99203E-13
     2977.00    2.01286E-13
     2978.00    2.04600E-13
     2979.00    1.97853E-13
     2980.00    1.89625E-13
     2981.00    1.81468E-13
     2982.00    1.74221E-13
     2983.00    1.70202E-13
     2984.00    1.66357E-13
     2985.00    1.61306E-13
     2986.00    1.67012E-13
     2987.00    1.74366E-13
     2988.00    1.83131E-13
     2989.00    1.93226E-13
     2990.00    2.01575E-13
     2991.00    2.04350E-13
     2992.00    2.02330E-13
     2993.00    2.00894E-13
     2994.00    1.99189E-13
     2995.00    1.97924E-13
     2996.00    1.97559E-13
     2997.00    2.01403E-13
     2998.00    1.99917E-13
     2999.00    1.94480E-13
     3000.00    1.86059E-13
     3001.00    1.78495E-13
     3002.00    1.75923E-13
     3003.00    1.77981E-13
     3004.00    1.82354E-13
     3005.00    1.88669E-13
     3006.00    1.92798E-13
     3007.00    1.93244E-13
     3008.00    1.93051E-13
     3009.00    1.94704E-13
     3010.00    1.98073E-13
     3011.00    2.03348E-13
     3012.00    2.04420E-13
     3013.00    2.03259E-13
     3014.00    2.00334E-13
     3015.00    1.96337E-13
     3016.00    1.92759E-13
     3017.00    1.89301E-13
     3018.00    1.85673E-13
     3019.00    1.79341E-13
     3020.00    1.74304E-13
     3021.00    1.73455E-13
     3022.00    1.80155E-13
     3023.00    1.89188E-13
     3024.00    1.96496E-13
     3025.00    2.01727E-13
     3026.00    2.04124E-13
     3027.00    2.06507E-13
     3028.00    2.08277E-13
     3029.00    2.09154E-13
     3030.00    2.08185E-13
     3031.00    2.08519E-13
     3032.00    2.09527E-13
     3033.00    2.10836E-13
     3034.00    2.12178E-13
     3035.00    2.12307E-13
     3036.00    2.11092E-13
     3037.00    2.08066E-13
     3038.00    2.07698E-13
     3039.00    2.08276E-13
     3040.00    2.08972E-13
     3041.00    2.06234E-13
     3042.00    2.04199E-13
     3043.00    2.03888E-13
     3044.00    2.06169E-13
     3045.00    2.06450E-13
     3046.00    2.06421E-13
     3047.00    2.05688E-13
     3048.00    2.03321E-13
     3049.00    2.07802E-13
     3050.00    2.13889E-13
     3051.00    2.19501E-13
     3052.00    2.17648E-13
     3053.00    2.14974E-13
     3054.00    2.11773E-13
     3055.00    2.08147E-13
     3056.00    2.04057E-13
     3057.00    1.99228E-13
     3058.00    1.93822E-13
     3059.00    1.87983E-13
     3060.00    1.91254E-13
     3061.00    1.95651E-13
     3062.00    1.98354E-13
     3063.00    1.91681E-13
     3064.00    1.85009E-13
     3065.00    1.79898E-13
     3066.00    1.77047E-13
     3067.00    1.74195E-13
     3068.00    1.74418E-13
     3069.00    1.76192E-13
     3070.00    1.77966E-13
     3071.00    1.80004E-13
     3072.00    1.82065E-13
     3073.00    1.84627E-13
     3074.00    1.89532E-13
     3075.00    1.94436E-13
     3076.00    1.97052E-13
     3077.00    1.96654E-13
     3078.00    1.96256E-13
     3079.00    1.98104E-13
     3080.00    2.00974E-13
     3081.00    2.03843E-13
     3082.00    2.01869E-13
     3083.00    1.99603E-13
     3084.00    1.98225E-13
     3085.00    2.00424E-13
     3086.00    2.02622E-13
     3087.00    2.02380E-13
     3088.00    1.99208E-13
     3089.00    1.96037E-13
     3090.00    1.90818E-13
     3091.00    1.84764E-13
     3092.00    1.78710E-13
     3093.00    1.75325E-13
     3094.00    1.72033E-13
     3095.00    1.70622E-13
     3096.00    1.75814E-13
     3097.00    1.81007E-13
     3098.00    1.82614E-13
     3099.00    1.80296E-13
     3100.00    1.77978E-13
     3101.00    1.78319E-13
     3102.00    1.79626E-13
     3103.00    1.80934E-13
     3104.00    1.86920E-13
     3105.00    1.92958E-13
     3106.00    1.98878E-13
     3107.00    2.04433E-13
     3108.00    2.09987E-13
     3109.00    2.13320E-13
     3110.00    2.14435E-13
     3111.00    2.15550E-13
     3112.00    2.15641E-13
     3113.00    2.15401E-13
     3114.00    2.15157E-13
     3115.00    2.14571E-13
     3116.00    2.13985E-13
     3117.00    2.11872E-13
     3118.00    2.05578E-13
     3119.00    1.99284E-13
     3120.00    1.95974E-13
     3121.00    1.95384E-13
     3122.00    1.94793E-13
     3123.00    1.94425E-13
     3124.00    1.94120E-13
     3125.00    1.93768E-13
     3126.00    1.92124E-13
     3127.00    1.90479E-13
     3128.00    1.89987E-13
     3129.00    1.92311E-13
     3130.00    1.94636E-13
     3131.00    1.96181E-13
     3132.00    1.97077E-13
     3133.00    1.97974E-13
     3134.00    2.01766E-13
     3135.00    2.06273E-13
     3136.00    2.10701E-13
     3137.00    2.13827E-13
     3138.00    2.16953E-13
     3139.00    2.18007E-13
     3140.00    2.14518E-13
     3141.00    2.11029E-13
     3142.00    2.06820E-13
     3143.00    2.02065E-13
     3144.00    1.97311E-13
     3145.00    1.94860E-13
     3146.00    1.92899E-13
     3147.00    1.91491E-13
     3148.00    1.96402E-13
     3149.00    2.01314E-13
     3150.00    2.04958E-13
     3151.00    2.06098E-13
     3152.00    2.07238E-13
     3153.00    2.08889E-13
     3154.00    2.10894E-13
     3155.00    2.12898E-13
     3156.00    2.07665E-13
     3157.00    2.01130E-13
     3158.00    1.95126E-13
