*HD044007
*
*  Heap-Lindler STIS_v2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     2950.00    3.07336E-13
     2951.00    3.28988E-13
     2952.00    3.36280E-13
     2953.00    3.30194E-13
     2954.00    3.25022E-13
     2955.00    3.42358E-13
     2956.00    3.71685E-13
     2957.00    3.49496E-13
     2958.00    3.55855E-13
     2959.00    3.61090E-13
     2960.00    3.52493E-13
     2961.00    3.55373E-13
     2962.00    3.65433E-13
     2963.00    3.68808E-13
     2964.00    3.45762E-13
     2965.00    2.99888E-13
     2966.00    2.67846E-13
     2967.00    2.55758E-13
     2968.00    2.74751E-13
     2969.00    2.74492E-13
     2970.00    2.77189E-13
     2971.00    2.91682E-13
     2972.00    3.22471E-13
     2973.00    3.31417E-13
     2974.00    3.43609E-13
     2975.00    3.87314E-13
     2976.00    3.99306E-13
     2977.00    4.16143E-13
     2978.00    4.25516E-13
     2979.00    3.77242E-13
     2980.00    3.47041E-13
     2981.00    3.22002E-13
     2982.00    2.99402E-13
     2983.00    2.92521E-13
     2984.00    2.72997E-13
     2985.00    2.64126E-13
     2986.00    2.89122E-13
     2987.00    3.09911E-13
     2988.00    3.37997E-13
     2989.00    3.71481E-13
     2990.00    4.04653E-13
     2991.00    4.09043E-13
     2992.00    4.05771E-13
     2993.00    3.98930E-13
     2994.00    3.78187E-13
     2995.00    3.76615E-13
     2996.00    3.88813E-13
     2997.00    4.12790E-13
     2998.00    3.99725E-13
     2999.00    3.67800E-13
     3000.00    3.31088E-13
     3001.00    3.18834E-13
     3002.00    3.20641E-13
     3003.00    3.34058E-13
     3004.00    3.58112E-13
     3005.00    3.88001E-13
     3006.00    3.94632E-13
     3007.00    3.91060E-13
     3008.00    3.84255E-13
     3009.00    3.96218E-13
     3010.00    4.23292E-13
     3011.00    4.46295E-13
     3012.00    4.28459E-13
     3013.00    4.09199E-13
     3014.00    3.94839E-13
     3015.00    3.85446E-13
     3016.00    3.75182E-13
     3017.00    3.60991E-13
     3018.00    3.45726E-13
     3019.00    3.30844E-13
     3020.00    3.21872E-13
     3021.00    3.25203E-13
     3022.00    3.50091E-13
     3023.00    4.15291E-13
     3024.00    4.32180E-13
     3025.00    4.29044E-13
     3026.00    4.20281E-13
     3027.00    4.54615E-13
     3028.00    4.61471E-13
     3029.00    4.52383E-13
     3030.00    4.32024E-13
     3031.00    4.29592E-13
     3032.00    4.42941E-13
     3033.00    4.60054E-13
     3034.00    4.66063E-13
     3035.00    4.69033E-13
     3036.00    4.61612E-13
     3037.00    4.42782E-13
     3038.00    4.09982E-13
     3039.00    4.24595E-13
     3040.00    4.35297E-13
     3041.00    4.24265E-13
     3042.00    4.17604E-13
     3043.00    4.32748E-13
     3044.00    4.51942E-13
     3045.00    4.56786E-13
     3046.00    4.58772E-13
     3047.00    4.53759E-13
     3048.00    4.48172E-13
     3049.00    4.63131E-13
     3050.00    4.80007E-13
     3051.00    4.96092E-13
     3052.00    5.08283E-13
     3053.00    4.89389E-13
     3054.00    4.59909E-13
     3055.00    4.35107E-13
     3056.00    4.29507E-13
     3057.00    3.92880E-13
     3058.00    3.57292E-13
     3059.00    3.46308E-13
     3060.00    4.17866E-13
     3061.00    4.02071E-13
     3062.00    3.86277E-13
     3063.00    3.71208E-13
     3064.00    3.57821E-13
     3065.00    3.44434E-13
     3066.00    3.42817E-13
     3067.00    3.50552E-13
     3068.00    3.58286E-13
     3069.00    3.74951E-13
     3070.00    3.93667E-13
     3071.00    4.11832E-13
     3072.00    4.22612E-13
     3073.00    4.33392E-13
     3074.00    4.40956E-13
     3075.00    4.41853E-13
     3076.00    4.42749E-13
     3077.00    4.42718E-13
     3078.00    4.42019E-13
     3079.00    4.41320E-13
     3080.00    4.38159E-13
     3081.00    4.34520E-13
     3082.00    4.31480E-13
     3083.00    4.34251E-13
     3084.00    4.37022E-13
     3085.00    4.31251E-13
     3086.00    4.09575E-13
     3087.00    3.87899E-13
     3088.00    3.73942E-13
     3089.00    3.65017E-13
     3090.00    3.56092E-13
     3091.00    3.50530E-13
     3092.00    3.45509E-13
     3093.00    3.42177E-13
     3094.00    3.51534E-13
     3095.00    3.60892E-13
     3096.00    3.64846E-13
     3097.00    3.59737E-13
     3098.00    3.54629E-13
     3099.00    3.53806E-13
     3100.00    3.55506E-13
     3101.00    3.57205E-13
     3102.00    3.87687E-13
     3103.00    4.21889E-13
     3104.00    4.53228E-13
     3105.00    4.67209E-13
     3106.00    4.81191E-13
     3107.00    4.91143E-13
     3108.00    4.94991E-13
     3109.00    4.98838E-13
     3110.00    5.00837E-13
     3111.00    5.01855E-13
     3112.00    5.02873E-13
     3113.00    4.97959E-13
     3114.00    4.92456E-13
     3115.00    4.84669E-13
     3116.00    4.65383E-13
     3117.00    4.46097E-13
     3118.00    4.26807E-13
     3119.00    4.07509E-13
     3120.00    3.88212E-13
     3121.00    3.83865E-13
     3122.00    3.86628E-13
     3123.00    3.89390E-13
     3124.00    3.92274E-13
     3125.00    3.95166E-13
     3126.00    3.98277E-13
     3127.00    4.02321E-13
     3128.00    4.06365E-13
     3129.00    4.12425E-13
     3130.00    4.20991E-13
     3131.00    4.29558E-13
     3132.00    4.32319E-13
     3133.00    4.32615E-13
     3134.00    4.32910E-13
     3135.00    4.40723E-13
     3136.00    4.48867E-13
     3137.00    4.56142E-13
     3138.00    4.60222E-13
     3139.00    4.64302E-13
     3140.00    4.52518E-13
     3141.00    4.22836E-13
     3142.00    3.93154E-13
     3143.00    3.76236E-13
     3144.00    3.64138E-13
     3145.00    3.52039E-13
     3146.00    3.79522E-13
     3147.00    4.07735E-13
     3148.00    4.32026E-13
     3149.00    4.43762E-13
     3150.00    4.55498E-13
     3151.00    4.59284E-13
     3152.00    4.54928E-13
     3153.00    4.50572E-13
     3154.00    4.31011E-13
     3155.00    4.06382E-13
     3156.00    3.81806E-13
     3157.00    3.65837E-13
     3158.00    3.49869E-13
