*LTT4364
*
*  Bessell 2012
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 4.00
*
     3100.00    1.71702E-13
     3104.00    1.71730E-13
     3108.00    1.71730E-13
     3112.00    1.71665E-13
     3116.00    1.71641E-13
     3120.00    1.71680E-13
     3124.00    1.71745E-13
     3128.00    1.71774E-13
     3132.00    1.71697E-13
     3136.00    1.71606E-13
     3140.00    1.71479E-13
     3144.00    1.71462E-13
     3148.00    1.71454E-13
     3152.00    1.71420E-13
     3156.00    1.71479E-13
     3160.00    1.71369E-13
     3164.00    1.71244E-13
     3168.00    1.71166E-13
     3172.00    1.71121E-13
     3176.00    1.71100E-13
     3180.00    1.71102E-13
     3184.00    1.70994E-13
     3188.00    1.70856E-13
     3192.00    1.70886E-13
     3196.00    1.70892E-13
     3200.00    1.70785E-13
     3204.00    1.70655E-13
     3208.00    1.70566E-13
     3212.00    1.70539E-13
     3216.00    1.70560E-13
     3220.00    1.70427E-13
     3224.00    1.70192E-13
     3228.00    1.70060E-13
     3232.00    1.69913E-13
     3236.00    1.69755E-13
     3240.00    1.69625E-13
     3244.00    1.69484E-13
     3248.00    1.69350E-13
     3252.00    1.69148E-13
     3256.00    1.68923E-13
     3260.00    1.68819E-13
     3264.00    1.68778E-13
     3268.00    1.68726E-13
     3272.00    1.68628E-13
     3276.00    1.68463E-13
     3280.00    1.68321E-13
     3284.00    1.68220E-13
     3288.00    1.68189E-13
     3292.00    1.68081E-13
     3296.00    1.67995E-13
     3300.00    1.67956E-13
     3304.00    1.67814E-13
     3308.00    1.67663E-13
     3312.00    1.67568E-13
     3316.00    1.67360E-13
     3320.00    1.67294E-13
     3324.00    1.67287E-13
     3328.00    1.67067E-13
     3332.00    1.67017E-13
     3336.00    1.66945E-13
     3340.00    1.66784E-13
     3344.00    1.66746E-13
     3348.00    1.66666E-13
     3352.00    1.66609E-13
     3356.00    1.66607E-13
     3360.00    1.66548E-13
     3364.00    1.66422E-13
     3368.00    1.66415E-13
     3372.00    1.66412E-13
     3376.00    1.66389E-13
     3380.00    1.66347E-13
     3384.00    1.66309E-13
     3388.00    1.66312E-13
     3392.00    1.66213E-13
     3396.00    1.66201E-13
     3400.00    1.66060E-13
     3404.00    1.65969E-13
     3408.00    1.66022E-13
     3412.00    1.65801E-13
     3416.00    1.65721E-13
     3420.00    1.65670E-13
     3424.00    1.65546E-13
     3428.00    1.65407E-13
     3432.00    1.65242E-13
     3436.00    1.65093E-13
     3440.00    1.65067E-13
     3444.00    1.64969E-13
     3448.00    1.64780E-13
     3452.00    1.64636E-13
     3456.00    1.64545E-13
     3460.00    1.64463E-13
     3464.00    1.64298E-13
     3468.00    1.64156E-13
     3472.00    1.64027E-13
     3476.00    1.63931E-13
     3480.00    1.63739E-13
     3484.00    1.63528E-13
     3488.00    1.63432E-13
     3492.00    1.63343E-13
     3496.00    1.63192E-13
     3500.00    1.63098E-13
     3504.00    1.63007E-13
     3508.00    1.62968E-13
     3512.00    1.62925E-13
     3516.00    1.62816E-13
     3520.00    1.62684E-13
     3524.00    1.62640E-13
     3528.00    1.62627E-13
     3532.00    1.62607E-13
     3536.00    1.62517E-13
     3540.00    1.62393E-13
     3544.00    1.62392E-13
     3548.00    1.62354E-13
     3552.00    1.62339E-13
     3556.00    1.62200E-13
     3560.00    1.62114E-13
     3564.00    1.61970E-13
     3568.00    1.61818E-13
     3572.00    1.61781E-13
     3576.00    1.61653E-13
     3580.00    1.61559E-13
     3584.00    1.61456E-13
     3588.00    1.61319E-13
     3592.00    1.61155E-13
     3596.00    1.61099E-13
     3600.00    1.60951E-13
     3604.00    1.60809E-13
     3608.00    1.60706E-13
     3612.00    1.60623E-13
     3616.00    1.60513E-13
     3620.00    1.60478E-13
     3624.00    1.60388E-13
     3628.00    1.60273E-13
     3632.00    1.60180E-13
     3636.00    1.60124E-13
     3640.00    1.60089E-13
     3644.00    1.60047E-13
     3648.00    1.59987E-13
     3652.00    1.59897E-13
     3656.00    1.59812E-13
     3660.00    1.59750E-13
     3664.00    1.59639E-13
     3668.00    1.59733E-13
     3672.00    1.59761E-13
     3676.00    1.59631E-13
     3680.00    1.59564E-13
     3684.00    1.59661E-13
     3688.00    1.59607E-13
     3692.00    1.59520E-13
     3696.00    1.59543E-13
     3700.00    1.59628E-13
     3704.00    1.59477E-13
     3708.00    1.59472E-13
     3712.00    1.59569E-13
     3716.00    1.59531E-13
     3720.00    1.59520E-13
     3724.00    1.59566E-13
     3728.00    1.59495E-13
     3732.00    1.59519E-13
     3736.00    1.59540E-13
     3740.00    1.59519E-13
     3744.00    1.59502E-13
     3748.00    1.59360E-13
     3752.00    1.59337E-13
     3756.00    1.59309E-13
     3760.00    1.59405E-13
     3764.00    1.59247E-13
     3768.00    1.59153E-13
     3772.00    1.59148E-13
     3776.00    1.58965E-13
     3780.00    1.58805E-13
     3784.00    1.58829E-13
     3788.00    1.58756E-13
     3792.00    1.58479E-13
     3796.00    1.58512E-13
     3800.00    1.58507E-13
     3804.00    1.58441E-13
     3808.00    1.58353E-13
     3812.00    1.58263E-13
     3816.00    1.58133E-13
     3820.00    1.58106E-13
     3824.00    1.58122E-13
     3828.00    1.58012E-13
     3832.00    1.58030E-13
     3836.00    1.58034E-13
     3840.00    1.57945E-13
     3844.00    1.57915E-13
     3848.00    1.57847E-13
     3852.00    1.57790E-13
     3856.00    1.57711E-13
     3860.00    1.57614E-13
     3864.00    1.57517E-13
     3868.00    1.57405E-13
     3872.00    1.57269E-13
     3876.00    1.57138E-13
     3880.00    1.57011E-13
     3884.00    1.56898E-13
     3888.00    1.56800E-13
     3892.00    1.56703E-13
     3896.00    1.56582E-13
     3900.00    1.56462E-13
     3904.00    1.56299E-13
     3908.00    1.56129E-13
     3912.00    1.55959E-13
     3916.00    1.55804E-13
     3920.00    1.55641E-13
     3924.00    1.55482E-13
     3928.00    1.55326E-13
     3932.00    1.55145E-13
     3936.00    1.54969E-13
