name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000322,587725075527106760,135.10132349,0.62534097,STAR,17.440107,0.01652,16.48904,0.01376,16.220869,9.340473E-3,16.112026,0.012248,16.109201,0.016029
10000014,587727944027406457,135.09646644,1.96031906,STAR,17.550777,0.019425,16.617281,0.015957,16.295689,0.012425,16.156555,0.016406,16.116133,0.019505
10000016,588010359064625191,130.55303769,2.74011076,STAR,16.67267,0.010946,15.864661,0.014064,15.593841,0.013665,15.464518,0.013033,15.46662,0.017073
10000033,588848900428988485,133.02434826,0.31442704,STAR,18.50342,0.015786,17.635551,0.011174,17.290976,0.015802,17.172554,0.012779,17.120445,0.02075
10000122,587722982290948186,212.03843651,-0.76073669,STAR,18.574486,0.027201,17.639631,0.021277,17.306,0.016322,17.181759,0.015392,17.160912,0.020986
10000128,587722982295666819,222.77021273,-0.6897502,STAR,18.662317,0.020236,17.72946,0.014822,17.352123,0.016121,17.203014,0.013583,17.156403,0.016938
10000131,587722982828146718,212.69297413,-0.34637511,STAR,18.263012,0.022118,17.321932,0.020561,17.014112,0.015164,16.886652,0.027839,16.865843,0.016845
10000144,587722983369408566,222.71141754,0.18348522,STAR,18.118217,0.01877,17.152193,0.014383,16.784206,0.012869,16.651417,0.013857,16.612762,0.015206
10000182,587726014546706478,213.46360566,1.74933378,STAR,17.689968,0.017328,16.759914,0.021025,16.376207,0.013644,16.22006,0.017623,16.167635,0.021089
10000183,587726014546772079,213.65818405,1.57058375,STAR,18.481892,0.029391,17.589661,0.020466,17.207676,0.016278,17.077517,0.020583,17.004705,0.017054
10000228,587729777981915139,216.16334309,-1.78559592,STAR,18.28536,0.021923,17.35096,0.014829,17.036612,0.018965,16.91584,0.02333,16.853043,0.033256
10000230,587729777982373942,217.2892706,-1.80034054,STAR,18.1061,0.03061,17.168425,0.015565,16.847647,0.017569,16.695118,0.015567,16.669001,0.018713
10000345,587727943489093695,131.75206725,1.35380273,STAR,16.581528,0.018296,15.764827,0.0152,15.495912,0.010967,15.357559,0.019526,15.359725,0.015328
10000356,587728879793668108,131.80266684,2.70569028,STAR,18.578938,0.02062,17.580669,0.012041,17.241348,0.014671,17.146999,0.011513,17.1115,0.015345
10000399,587726032231202858,140.35082422,1.52420859,STAR,18.392408,0.029772,17.456261,0.016446,17.04472,0.01952,16.892687,0.013488,16.83123,0.022664
10000412,587727944566833214,140.83219471,2.62286398,STAR,18.478085,0.019642,17.502045,0.013515,17.079292,0.011513,16.924917,0.017418,16.840658,0.017624
10000745,587722982291538074,213.39830808,-0.73718093,STAR,18.668121,0.029018,17.680323,0.024639,17.336517,0.016646,17.230345,0.01318,17.205692,0.027526
10000821,587722983904248002,218.18529089,0.49877234,STAR,18.168003,0.015793,17.28974,0.012777,16.999371,0.016273,16.912184,0.015074,16.986443,0.030119
10000975,587726014547034180,214.21056861,1.56440967,STAR,18.417496,0.023325,17.439386,0.023137,17.169516,0.013884,17.059515,0.015042,17.022758,0.021427
10002433,587727942955630626,139.51024267,1.17827349,STAR,18.613756,0.026939,17.533253,0.015773,17.173437,0.017025,17.083448,0.014437,17.064327,0.017079
10000073,587726014532681749,181.35487276,1.99647225,STAR,18.130615,0.025868,17.307398,0.021625,16.990824,0.03165,16.843311,0.018015,16.813324,0.017315
10000089,587748928164790299,175.10456184,-0.82828343,STAR,18.205652,0.026263,17.29949,0.017517,17.005575,0.016899,16.893564,0.013052,16.840923,0.015166
10000139,587722983367377036,218.14434808,0.13739184,STAR,18.470612,0.01693,17.582304,0.017271,17.26762,0.01856,17.184315,0.013745,17.192545,0.037327
10000167,588848900464508942,214.11595152,0.35355896,STAR,17.981443,0.017773,17.048107,0.012163,16.720747,0.016514,16.604439,0.012296,16.591768,0.016867
10000184,587726014547034216,214.26704459,1.75340883,STAR,17.979055,0.020553,17.034916,0.023033,16.685486,0.013696,16.569107,0.014845,16.558363,0.020178
10001696,587725074452185316,132.37337286,-0.28581087,STAR,18.987459,0.02117,18.03668,0.012067,17.811447,0.012365,17.732857,0.01388,17.728712,0.022938
