name,objID,ra,dec,type,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z
10000376,588848899893821495,136.89604741,-0.17606702,STAR,18.119837,0.019647,17.115713,0.014978,16.75795,9.764922E-3,16.631601,0.012899,16.588673,0.015613
10000021,587727943491977383,138.39785932,1.7085894,STAR,18.189434,0.020275,17.300129,0.015435,16.94566,0.020611,16.835537,0.016842,16.830162,0.017365
10000295,587726031690727597,132.21628975,0.77796013,STAR,18.252926,0.021842,17.251621,0.02388,16.852434,0.017257,16.75197,0.016058,16.687437,0.019898
10000410,587727944564998231,136.73431595,2.34837898,STAR,18.696884,0.023072,17.622633,0.028927,17.316015,0.014231,17.185019,0.021463,17.134068,0.022269
10000589,587726013997449296,185.14683226,1.55644212,STAR,17.564741,0.02045,16.608921,0.025002,16.276728,0.015197,16.146988,0.013091,16.112064,0.015959
10000041,588848899911843869,178.05272795,-0.05912279,STAR,17.818165,0.020074,16.890369,0.018751,16.603329,0.016236,16.500839,0.01742,16.461924,0.025942
10000451,588848899892904063,134.83730526,-0.1469249,STAR,18.205883,0.016855,17.262375,0.014439,16.966047,9.85231E-3,16.855373,0.013031,16.829418,0.017472
10000492,588848899376087156,180.72334004,-0.43899463,STAR,16.736128,0.01914,15.860057,0.020007,15.628441,0.010875,15.542038,0.018536,15.569297,0.01554
10000068,587725041702666314,180.30294666,-1.49184625,STAR,18.08503,0.026501,17.170897,0.043408,16.792465,0.021003,16.705929,0.021735,16.678242,0.021658
10000365,588010358529327177,134.1488586,2.61677804,STAR,17.97871,0.020197,16.944803,0.017686,16.619198,0.014248,16.45261,0.014769,16.381281,0.0173
10000477,587722984426700808,185.14482782,0.88233019,STAR,18.346325,0.021454,17.351143,0.024152,17.060591,0.02719,16.95335,0.017672,16.916271,0.017994
